step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,50.00,50.00,0.0612,47,1,24.00,0.2150,0.1373,1.5844,1.4855,0,0,false
1,60.00,54.00,0.0612,46,0,23.00,0.2097,0.1308,1.5844,1.4855,40,0,false
2,48.00,54.00,0.0816,45,0,22.50,0.2016,0.1304,1.5844,1.5710,38,0,false
3,40.00,56.00,0.1020,44,0,22.00,0.1811,0.1343,1.5844,1.5710,35,0,false
4,36.00,58.00,0.1224,43,0,21.50,0.1657,0.1333,1.5844,1.4855,29,0,false
5,48.00,56.00,0.1429,42,0,21.00,0.1584,0.1308,1.5844,1.5710,27,0,false
6,54.00,60.00,0.1633,41,0,20.50,0.1436,0.1275,1.5844,1.4855,27,0,false
7,40.00,64.00,0.1837,40,0,20.00,0.1338,0.1278,1.5844,1.4855,24,0,false
8,52.00,74.00,0.2041,39,0,19.50,0.1214,0.1274,1.5844,1.2955,23,0,false
9,48.00,74.00,0.2245,38,0,19.00,0.1110,0.1221,1.5844,1.2955,21,0,false
10,60.00,78.00,0.2449,37,0,18.50,0.1065,0.1157,1.5844,1.2955,19,0,false
11,56.00,80.00,0.2653,36,0,18.00,0.0983,0.1132,1.5844,1.2955,18,0,false
12,58.00,82.00,0.2857,35,0,17.50,0.0865,0.1078,1.5844,1.2955,17,0,false
13,64.00,88.00,0.3061,34,0,17.00,0.0772,0.0989,1.5844,1.2955,14,0,false
14,52.00,92.00,0.3265,33,0,16.50,0.0690,0.0942,1.5844,1.2955,13,0,false
15,62.00,90.00,0.3469,32,0,16.00,0.0624,0.0889,1.5844,1.2955,13,0,false
16,66.00,94.00,0.3673,31,0,15.50,0.0514,0.0824,1.5844,1.2955,11,0,false
17,74.00,94.00,0.3878,30,0,15.00,0.0497,0.0807,1.5844,1.2955,9,0,false
18,72.00,94.00,0.4082,29,0,14.50,0.0425,0.0735,1.5844,1.2955,9,0,false
19,70.00,92.00,0.4286,28,0,14.00,0.0402,0.0643,1.5844,1.2955,9,0,false
20,70.00,94.00,0.4490,27,0,13.50,0.0351,0.0626,1.5844,1.4855,9,0,false
21,72.00,94.00,0.4694,26,0,13.00,0.0295,0.0572,1.5844,1.4855,6,0,false
22,68.00,92.00,0.4898,25,0,12.50,0.0289,0.0516,1.5844,1.4855,5,0,false
23,66.00,96.00,0.5102,24,0,12.00,0.0227,0.0469,1.5844,1.4855,4,0,false
24,70.00,96.00,0.5306,23,0,11.50,0.0221,0.0447,1.5844,1.4855,3,0,false
25,68.00,96.00,0.5510,22,0,11.00,0.0221,0.0447,1.5844,1.4855,2,0,false
26,68.00,96.00,0.5714,21,0,10.50,0.0204,0.0423,1.5844,1.4855,2,0,false
27,70.00,96.00,0.5918,20,0,10.00,0.0198,0.0391,1.5844,1.4855,2,0,false
28,66.00,96.00,0.6122,19,0,9.50,0.0198,0.0383,1.5844,1.4855,2,0,false
29,64.00,96.00,0.6327,18,0,9.00,0.0198,0.0383,1.5844,1.4855,2,0,false
30,72.00,94.00,0.6531,17,0,8.50,0.0193,0.0377,1.5844,1.4855,2,0,false
31,72.00,98.00,0.6735,16,0,8.00,0.0147,0.0317,1.5844,1.4855,2,0,false
32,66.00,98.00,0.6939,15,0,7.50,0.0147,0.0317,1.5844,1.4855,1,0,false
33,66.00,96.00,0.7143,14,0,7.00,0.0147,0.0317,1.5844,1.4855,1,0,false
34,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,1,0,false
35,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,1,false
36,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,2,false
37,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,3,false
38,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,4,false
39,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,5,false
40,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,6,false
41,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,7,false
42,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,8,false
43,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,9,false
44,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,10,false
45,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,11,false
46,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,12,false
47,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,13,false
48,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,14,false
49,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,15,false
50,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,16,false
51,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,17,false
52,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,18,false
53,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,19,false
54,68.00,100.00,0.7347,13,0,6.50,0.0102,0.0248,1.5844,1.4855,0,20,true
