step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,98.00,54.00,0.7959,37,27,32.00,0.1695,0.1418,1.5827,0.0000,0,0,false
1,96.00,58.00,0.7959,36,26,31.00,0.1641,0.1410,1.5827,0.0000,43,0,false
2,90.00,58.00,0.7959,35,25,30.00,0.1601,0.1387,1.5827,0.0000,38,0,false
3,88.00,58.00,0.7959,34,24,29.00,0.1562,0.1371,1.5827,0.0000,35,0,false
4,86.00,58.00,0.7959,33,23,28.00,0.1534,0.1360,1.5827,0.0000,35,0,false
5,84.00,58.00,0.7959,32,22,27.00,0.1523,0.1371,1.5827,0.0000,34,0,false
6,86.00,56.00,0.7959,31,21,26.00,0.1511,0.1349,1.5827,0.0000,33,0,false
7,86.00,58.00,0.7959,30,20,25.00,0.1404,0.1348,1.5827,0.0000,33,0,false
8,86.00,58.00,0.7959,29,19,24.00,0.1365,0.1289,1.5827,0.4690,30,0,false
9,86.00,58.00,0.7959,28,18,23.00,0.1327,0.1259,1.5827,0.7219,30,0,false
10,84.00,58.00,0.7959,27,17,22.00,0.1299,0.1202,1.5827,0.8813,30,0,false
11,80.00,58.00,0.7959,26,16,21.00,0.1272,0.1181,1.5827,0.9710,29,0,false
12,80.00,58.00,0.7959,25,15,20.00,0.1245,0.1173,1.5827,1.0000,28,0,false
13,76.00,62.00,0.7959,24,14,19.00,0.1109,0.1111,1.5827,0.9710,28,0,false
14,72.00,64.00,0.7959,23,13,18.00,0.0973,0.1031,1.5827,0.8813,26,0,false
15,72.00,66.00,0.7959,22,12,17.00,0.0888,0.0976,1.5827,0.8813,21,0,false
16,76.00,76.00,0.7959,21,11,16.00,0.0752,0.0923,1.5827,0.8813,19,0,false
17,76.00,78.00,0.7959,20,10,15.00,0.0616,0.0779,1.5827,0.8813,18,0,false
18,76.00,86.00,0.8163,19,10,14.50,0.0480,0.0688,1.5827,0.8813,12,0,false
19,76.00,90.00,0.8367,18,10,14.00,0.0395,0.0606,1.5827,0.8813,10,0,false
20,82.00,88.00,0.8571,17,10,13.50,0.0338,0.0522,1.5827,0.8813,10,0,false
21,82.00,92.00,0.8776,16,10,13.00,0.0266,0.0451,1.5827,0.8813,6,0,false
22,78.00,96.00,0.8980,15,10,12.50,0.0181,0.0352,1.5827,0.8813,5,0,false
23,86.00,100.00,0.9184,14,10,12.00,0.0119,0.0254,1.5827,0.8813,3,0,false
24,86.00,100.00,0.9184,14,10,12.00,0.0119,0.0254,1.5827,0.8813,1,0,false
25,86.00,100.00,0.9184,14,10,12.00,0.0119,0.0254,1.5827,0.8813,1,0,false
26,80.00,100.00,0.9184,14,10,12.00,0.0119,0.0254,1.5827,0.8813,1,0,false
27,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,1,0,false
28,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,1,false
29,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,2,false
30,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,3,false
31,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,4,false
32,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,5,false
33,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,6,false
34,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,7,false
35,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,8,false
36,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,9,false
37,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,10,false
38,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,11,false
39,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,12,false
40,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,13,false
41,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,14,false
42,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,15,false
43,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,16,false
44,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,17,false
45,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,18,false
46,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,19,false
47,88.00,100.00,0.9184,14,10,12.00,0.0102,0.0248,1.5827,0.8813,0,20,true
