step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,98.00,38.00,0.3878,48,18,33.00,0.1504,0.1136,0.1414,0.0000,0,0,false
1,98.00,46.00,0.3878,47,17,32.00,0.1440,0.1185,0.1414,0.0000,41,0,false
2,98.00,44.00,0.3878,46,16,31.00,0.1388,0.1138,0.1414,0.0000,38,0,false
3,98.00,52.00,0.3878,45,15,30.00,0.1281,0.1144,0.1414,0.0000,36,0,false
4,98.00,56.00,0.3878,44,14,29.00,0.1174,0.1090,0.1414,0.0000,35,0,false
5,98.00,64.00,0.3878,43,13,28.00,0.1044,0.1055,0.1414,0.0000,31,0,false
6,98.00,64.00,0.3878,42,12,27.00,0.0967,0.0986,0.1414,0.0000,29,0,false
7,98.00,64.00,0.3878,41,11,26.00,0.0950,0.0998,0.1414,0.0000,26,0,false
8,98.00,68.00,0.3878,40,10,25.00,0.0879,0.1007,0.1414,0.0000,25,0,false
9,98.00,72.00,0.3878,39,9,24.00,0.0819,0.0994,0.1414,0.4690,25,0,false
10,98.00,74.00,0.3878,38,8,23.00,0.0764,0.0977,0.1414,0.4690,22,0,false
11,98.00,72.00,0.3878,37,7,22.00,0.0764,0.0977,0.1414,0.4690,20,0,false
12,98.00,76.00,0.3878,36,6,21.00,0.0693,0.0977,0.1414,0.4690,20,0,false
13,98.00,78.00,0.3878,35,5,20.00,0.0616,0.0927,0.1414,0.4690,20,0,false
14,98.00,74.00,0.3878,34,4,19.00,0.0616,0.0877,0.1414,0.4690,16,0,false
15,98.00,78.00,0.3878,33,3,18.00,0.0544,0.0825,0.1414,0.4690,16,0,false
16,98.00,78.00,0.3878,32,2,17.00,0.0473,0.0702,0.1414,0.4690,14,0,false
17,96.00,74.00,0.3878,31,1,16.00,0.0473,0.0632,0.1414,0.4690,13,0,false
18,98.00,78.00,0.3878,30,0,15.00,0.0450,0.0629,0.1414,0.4690,13,0,false
19,98.00,78.00,0.4082,29,0,14.50,0.0450,0.0629,0.1414,0.4690,12,0,false
20,98.00,78.00,0.4286,28,0,14.00,0.0433,0.0635,0.1414,0.4690,12,0,false
21,98.00,78.00,0.4490,27,0,13.50,0.0416,0.0624,0.1414,0.4690,11,0,false
22,98.00,78.00,0.4694,26,0,13.00,0.0411,0.0610,0.1414,0.4690,11,0,false
23,98.00,78.00,0.4898,25,0,12.50,0.0394,0.0598,0.1414,0.4690,9,0,false
24,98.00,78.00,0.5102,24,0,12.00,0.0377,0.0567,0.1414,0.4690,9,0,false
25,98.00,78.00,0.5306,23,0,11.50,0.0377,0.0548,0.1414,0.4690,9,0,false
26,98.00,78.00,0.5510,22,0,11.00,0.0377,0.0548,0.1414,0.4690,9,0,false
27,98.00,78.00,0.5714,21,0,10.50,0.0377,0.0548,0.1414,0.4690,9,0,false
28,98.00,78.00,0.5918,20,0,10.00,0.0371,0.0545,0.1414,0.4690,9,0,false
29,98.00,78.00,0.6122,19,0,9.50,0.0371,0.0539,0.1414,0.4690,8,0,false
30,98.00,78.00,0.6327,18,0,9.00,0.0365,0.0536,0.1414,0.4690,8,0,false
31,98.00,78.00,0.6531,17,0,8.50,0.0360,0.0528,0.1414,0.4690,6,0,false
32,98.00,78.00,0.6735,16,0,8.00,0.0360,0.0522,0.1414,0.4690,6,0,false
33,98.00,78.00,0.6939,15,0,7.50,0.0360,0.0522,0.1414,0.4690,6,0,false
34,98.00,78.00,0.7143,14,0,7.00,0.0360,0.0522,0.1414,0.4690,6,0,false
35,98.00,76.00,0.7347,13,0,6.50,0.0360,0.0522,0.1414,0.4690,6,0,false
36,98.00,82.00,0.7551,12,0,6.00,0.0314,0.0502,0.1414,0.4690,6,0,false
37,98.00,86.00,0.7755,11,0,5.50,0.0269,0.0478,0.1414,0.4690,5,0,false
38,98.00,84.00,0.7959,10,0,5.00,0.0269,0.0478,0.1414,0.4690,4,0,false
39,98.00,88.00,0.8163,9,0,4.50,0.0224,0.0448,0.1414,0.4690,4,0,false
