step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,100.00,62.00,0.4898,42,17,29.50,0.1549,0.1434,1.5827,0.0000,0,0,false
1,96.00,64.00,0.4898,41,16,28.50,0.1549,0.1434,1.5827,0.0000,39,0,false
2,94.00,64.00,0.4898,40,15,27.50,0.1520,0.1455,1.5827,0.0000,39,0,false
3,92.00,64.00,0.4898,39,14,26.50,0.1508,0.1466,1.5827,0.0000,37,0,false
4,94.00,64.00,0.4898,38,13,25.50,0.1508,0.1466,1.5827,0.0000,36,0,false
5,94.00,66.00,0.4898,37,12,24.50,0.1479,0.1479,1.5827,0.0000,36,0,false
6,94.00,68.00,0.4898,36,11,23.50,0.1450,0.1482,1.5827,0.0000,36,0,false
7,90.00,68.00,0.4898,35,10,22.50,0.1409,0.1486,1.5827,0.0000,33,0,false
8,88.00,70.00,0.4898,34,9,21.50,0.1368,0.1501,1.5827,0.0000,32,0,false
9,90.00,70.00,0.4898,33,8,20.50,0.1329,0.1485,1.5827,0.4690,28,0,false
10,84.00,70.00,0.4898,32,7,19.50,0.1290,0.1481,1.5827,0.4690,27,0,false
11,90.00,70.00,0.4898,31,6,18.50,0.1252,0.1449,1.5827,0.7219,24,0,false
12,88.00,74.00,0.4898,30,5,17.50,0.1213,0.1404,1.5827,0.8813,24,0,false
13,90.00,74.00,0.4898,29,4,16.50,0.1185,0.1350,1.5827,0.9710,24,0,false
14,84.00,74.00,0.4898,28,3,15.50,0.1147,0.1366,1.5827,1.0000,24,0,false
15,78.00,72.00,0.4898,27,2,14.50,0.1147,0.1333,1.5827,0.9710,22,0,false
16,76.00,74.00,0.4898,26,1,13.50,0.1051,0.1319,1.5827,0.8813,22,0,false
17,82.00,78.00,0.5102,25,1,13.00,0.0915,0.1210,1.5827,0.7219,18,0,false
18,90.00,82.00,0.5306,24,1,12.50,0.0768,0.1116,1.5827,0.7219,16,0,false
19,92.00,86.00,0.5510,23,1,12.00,0.0700,0.1062,1.5827,0.7219,9,0,false
20,90.00,86.00,0.5714,22,1,11.50,0.0615,0.1020,1.5827,0.7219,8,0,false
21,96.00,90.00,0.5918,21,1,11.00,0.0519,0.0953,1.5827,0.7219,8,0,false
22,94.00,94.00,0.6122,20,1,10.50,0.0451,0.0914,1.5827,0.7219,7,0,false
23,94.00,92.00,0.6327,19,1,10.00,0.0421,0.0899,1.5827,0.7219,5,0,false
24,92.00,94.00,0.6531,18,1,9.50,0.0366,0.0804,1.5827,0.7219,4,0,false
25,94.00,92.00,0.6735,17,1,9.00,0.0361,0.0744,1.5827,0.7219,4,0,false
26,90.00,92.00,0.6939,16,1,8.50,0.0361,0.0744,1.5827,0.7219,3,0,false
27,90.00,94.00,0.7143,15,1,8.00,0.0289,0.0639,1.5827,0.7219,3,0,false
28,94.00,92.00,0.7347,14,1,7.50,0.0276,0.0530,1.5827,0.7219,3,0,false
29,94.00,94.00,0.7551,13,1,7.00,0.0276,0.0512,1.5827,1.1568,3,0,false
30,94.00,92.00,0.7755,12,1,6.50,0.0253,0.0489,1.5827,1.1568,3,0,false
31,90.00,94.00,0.7959,11,1,6.00,0.0207,0.0427,1.5827,1.1568,3,0,false
32,92.00,98.00,0.8163,10,1,5.50,0.0153,0.0359,1.5827,1.1568,2,0,false
33,90.00,96.00,0.8367,9,1,5.00,0.0147,0.0352,1.5827,1.3710,1,0,false
34,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,1,0,false
35,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,1,false
36,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,2,false
37,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,3,false
38,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,4,false
39,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,5,false
40,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,6,false
41,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,7,false
42,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,8,false
43,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,9,false
44,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,10,false
45,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,11,false
46,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,12,false
47,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,13,false
48,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,14,false
49,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,15,false
50,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,16,false
51,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,17,false
52,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,18,false
53,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,19,false
54,96.00,100.00,0.8571,8,1,4.50,0.0102,0.0280,1.5827,1.3710,0,20,true
