step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,18.00,66.00,0.6939,33,48,40.50,0.1541,0.1028,1.5844,1.3710,0,0,false
1,38.00,66.00,0.6939,31,46,38.50,0.1465,0.1136,1.5844,1.4855,38,0,false
2,40.00,62.00,0.6939,30,45,37.50,0.1530,0.1130,1.5844,1.5710,37,0,false
3,44.00,54.00,0.6735,28,44,36.00,0.1650,0.1188,1.5844,1.5710,41,0,false
4,50.00,62.00,0.6327,25,43,34.00,0.1473,0.1172,1.5844,1.5710,33,0,false
5,52.00,60.00,0.6327,24,42,33.00,0.1452,0.1207,1.5844,1.5710,35,0,false
6,38.00,62.00,0.5918,21,41,31.00,0.1501,0.1217,1.5844,1.5710,29,0,false
7,48.00,64.00,0.5918,20,40,30.00,0.1479,0.1204,1.5844,1.4855,35,0,false
8,50.00,62.00,0.5918,19,39,29.00,0.1423,0.1192,1.5844,1.3610,31,0,false
9,52.00,60.00,0.5918,18,38,28.00,0.1377,0.1184,1.5844,1.3610,26,0,false
10,52.00,62.00,0.5918,17,37,27.00,0.1303,0.1174,1.5844,1.0000,26,0,false
11,60.00,66.00,0.5918,16,36,26.00,0.1298,0.1223,1.5844,1.0000,24,0,false
12,64.00,66.00,0.5306,15,38,26.50,0.1137,0.1187,1.5844,1.0000,23,0,false
13,74.00,66.00,0.5306,14,37,25.50,0.1085,0.1155,1.5844,1.0000,21,0,false
14,74.00,68.00,0.5102,12,36,24.00,0.1086,0.1174,1.5844,1.0000,17,0,false
15,72.00,76.00,0.4490,11,38,24.50,0.0947,0.1065,1.5844,1.0000,17,0,false
16,72.00,74.00,0.4490,10,37,23.50,0.0864,0.1028,1.5844,1.0000,17,0,false
17,64.00,72.00,0.4490,9,36,22.50,0.0844,0.1079,1.5844,0.9710,17,0,false
18,72.00,78.00,0.3878,8,38,23.00,0.0723,0.0975,1.5844,0.9710,14,0,false
19,72.00,80.00,0.3878,7,37,22.00,0.0672,0.0920,1.5844,0.9710,13,0,false
20,74.00,80.00,0.3878,6,36,21.00,0.0695,0.0973,1.5844,0.9710,12,0,false
21,76.00,86.00,0.3265,5,38,21.50,0.0560,0.0844,1.5844,0.9710,12,0,false
22,78.00,88.00,0.3265,4,37,20.50,0.0503,0.0776,1.5844,0.9710,11,0,false
23,78.00,90.00,0.3265,3,36,19.50,0.0528,0.0873,1.5844,0.9710,11,0,false
24,78.00,92.00,0.2653,2,38,20.00,0.0430,0.0744,1.5844,0.9710,10,0,false
25,76.00,94.00,0.2653,1,37,19.00,0.0390,0.0706,1.5844,0.9710,8,0,false
26,76.00,92.00,0.2653,0,36,18.00,0.0433,0.0829,1.5844,0.9710,8,0,false
27,82.00,94.00,0.2245,0,38,19.00,0.0341,0.0680,1.5844,0.9710,7,0,false
28,82.00,94.00,0.2449,0,37,18.50,0.0313,0.0650,1.5844,0.9710,7,0,false
29,74.00,92.00,0.2653,0,36,18.00,0.0362,0.0802,1.5844,0.9710,6,0,false
30,78.00,94.00,0.2245,0,38,19.00,0.0287,0.0640,1.5844,1.0000,5,0,false
31,78.00,96.00,0.2449,0,37,18.50,0.0283,0.0613,1.5844,1.0000,5,0,false
32,74.00,94.00,0.2653,0,36,18.00,0.0348,0.0780,1.5844,1.0000,5,0,false
33,82.00,96.00,0.2245,0,38,19.00,0.0276,0.0626,1.5844,1.0000,5,0,false
34,82.00,96.00,0.2449,0,37,18.50,0.0275,0.0604,1.5844,1.0000,5,0,false
35,78.00,94.00,0.2653,0,36,18.00,0.0330,0.0775,1.5844,1.0000,5,0,false
36,80.00,96.00,0.2245,0,38,19.00,0.0245,0.0616,1.5844,1.0000,5,0,false
