step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,70.00,76.00,0.8980,11,16,13.50,0.1381,0.1190,1.5535,0.7219,0,0,false
1,84.00,82.00,0.8980,10,15,12.50,0.1033,0.1024,1.5535,1.2955,41,0,false
2,82.00,88.00,0.8980,9,14,11.50,0.0920,0.0967,1.5535,1.2955,40,0,false
3,78.00,92.00,0.8980,8,13,10.50,0.0716,0.0861,1.5535,1.1568,38,0,false
4,80.00,92.00,0.8571,5,12,8.50,0.0653,0.0794,1.5535,1.2955,36,0,false
5,80.00,94.00,0.7959,1,11,6.00,0.0503,0.0695,1.5535,1.2955,29,0,false
6,82.00,94.00,0.7959,0,10,5.00,0.0447,0.0644,1.5535,1.2955,26,0,false
7,78.00,94.00,0.8163,0,9,4.50,0.0417,0.0582,1.5535,1.3610,20,0,false
8,72.00,92.00,0.8367,0,8,4.00,0.0377,0.0528,1.5535,1.3610,11,0,false
9,74.00,94.00,0.9184,0,4,2.00,0.0393,0.0501,1.5535,1.3610,12,0,false
