step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,24.00,64.00,0.6939,33,48,40.50,0.1400,0.1179,1.5844,1.4855,0,0,false
1,48.00,76.00,0.6939,32,47,39.50,0.1143,0.1203,1.5844,1.5219,42,0,false
2,54.00,76.00,0.7143,31,45,38.00,0.1089,0.1055,1.5844,1.5219,40,0,false
3,50.00,78.00,0.7143,30,44,37.00,0.1014,0.0990,1.5844,1.4855,39,0,false
4,54.00,88.00,0.7143,29,43,36.00,0.0762,0.0807,1.5844,1.5710,34,0,false
5,60.00,92.00,0.7143,28,42,35.00,0.0643,0.0645,1.5844,1.5219,34,0,false
6,62.00,90.00,0.7347,27,40,33.50,0.0601,0.0625,1.5844,1.5219,31,0,false
7,64.00,88.00,0.7347,26,39,32.50,0.0553,0.0574,1.5844,1.5219,32,0,false
8,62.00,92.00,0.7347,25,38,31.50,0.0507,0.0590,1.5844,1.5710,30,0,false
9,64.00,92.00,0.7347,24,37,30.50,0.0456,0.0549,1.5844,1.5710,29,0,false
10,76.00,94.00,0.7347,23,36,29.50,0.0416,0.0547,1.5844,1.5710,22,0,false
11,68.00,98.00,0.7347,22,35,28.50,0.0353,0.0435,1.5844,1.4855,24,0,false
12,78.00,98.00,0.7347,21,34,27.50,0.0330,0.0409,1.5844,1.4855,13,0,false
13,70.00,98.00,0.7143,19,33,26.00,0.0301,0.0385,1.5844,1.4855,14,0,false
14,78.00,98.00,0.7143,18,32,25.00,0.0276,0.0367,1.5844,1.4855,16,0,false
15,70.00,98.00,0.7143,17,31,24.00,0.0265,0.0350,1.5844,1.3610,12,0,false
16,74.00,100.00,0.6939,15,30,22.50,0.0250,0.0327,1.5844,1.3610,10,0,false
17,66.00,100.00,0.6939,14,29,21.50,0.0243,0.0299,1.5844,1.3610,12,0,false
18,70.00,100.00,0.6939,13,28,20.50,0.0233,0.0282,1.5844,1.3610,10,0,false
19,68.00,100.00,0.6939,12,27,19.50,0.0220,0.0268,1.5844,1.3610,10,0,false
20,70.00,100.00,0.7551,10,22,16.00,0.0202,0.0266,1.5844,1.3610,6,0,false
21,70.00,100.00,0.7551,9,21,15.00,0.0190,0.0254,1.5844,1.0000,10,0,false
22,70.00,100.00,0.7551,8,20,14.00,0.0170,0.0238,1.5844,1.0000,10,0,false
23,74.00,100.00,0.7551,6,18,12.00,0.0162,0.0230,1.5844,0.9710,9,0,false
24,76.00,100.00,0.7551,5,17,11.00,0.0156,0.0220,1.5844,0.9710,6,0,false
25,76.00,100.00,0.7551,4,16,10.00,0.0147,0.0212,1.5844,0.9710,6,0,false
26,70.00,100.00,0.7551,3,15,9.00,0.0142,0.0205,1.5844,0.9710,6,0,false
27,76.00,100.00,0.7347,1,14,7.50,0.0132,0.0205,1.5844,0.9710,3,0,false
28,74.00,100.00,0.7551,0,12,6.00,0.0131,0.0205,1.5844,0.9710,2,0,false
29,76.00,100.00,0.7755,0,11,5.50,0.0127,0.0198,1.5844,0.9710,1,0,false
30,78.00,100.00,0.7959,0,10,5.00,0.0118,0.0178,1.5844,0.9710,1,0,false
31,78.00,100.00,0.8367,0,8,4.00,0.0117,0.0164,1.5844,0.9710,1,0,false
32,78.00,100.00,0.8571,0,7,3.50,0.0117,0.0162,1.5844,0.9710,1,0,false
33,80.00,100.00,0.8776,0,6,3.00,0.0113,0.0159,1.5844,0.9710,1,0,false
34,80.00,100.00,0.8980,0,5,2.50,0.0109,0.0150,1.5844,0.9710,1,0,false
35,74.00,100.00,0.9184,0,4,2.00,0.0105,0.0143,1.5844,0.9710,1,0,false
