step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,0.00,38.00,0.6939,33,48,40.50,0.2268,0.1462,1.5844,1.5710,0,0,false
1,4.00,40.00,0.6939,32,47,39.50,0.2251,0.1478,1.5844,1.5219,46,0,false
2,12.00,46.00,0.6939,31,46,38.50,0.2099,0.1480,1.5844,1.5710,41,0,false
3,12.00,60.00,0.6939,30,45,37.50,0.1954,0.1500,1.5844,1.5710,36,0,false
4,24.00,60.00,0.6939,29,44,36.50,0.1810,0.1530,1.5844,1.4855,34,0,false
5,22.00,62.00,0.6939,28,43,35.50,0.1767,0.1464,1.5844,1.4855,30,0,false
6,28.00,62.00,0.6939,27,42,34.50,0.1637,0.1479,1.5844,1.4855,30,0,false
7,36.00,64.00,0.6939,26,41,33.50,0.1550,0.1416,1.5844,1.3710,26,0,false
8,30.00,72.00,0.6939,25,40,32.50,0.1434,0.1388,1.5844,1.3710,24,0,false
9,38.00,74.00,0.6939,24,39,31.50,0.1340,0.1353,1.5844,1.3710,23,0,false
10,48.00,74.00,0.6939,23,38,30.50,0.1223,0.1300,1.5844,1.1568,23,0,false
11,44.00,80.00,0.6939,22,37,29.50,0.1124,0.1242,1.5844,1.1568,18,0,false
12,50.00,80.00,0.6939,21,36,28.50,0.1049,0.1190,1.5844,1.1568,16,0,false
13,46.00,82.00,0.6939,20,35,27.50,0.0958,0.1136,1.5844,0.9219,15,0,false
14,52.00,82.00,0.6939,19,34,26.50,0.0882,0.1064,1.5844,0.9219,14,0,false
15,44.00,84.00,0.6939,18,33,25.50,0.0802,0.1003,1.5844,0.9219,14,0,false
16,54.00,84.00,0.6939,17,32,24.50,0.0735,0.0945,1.5844,0.4690,14,0,false
17,50.00,88.00,0.6939,16,31,23.50,0.0649,0.0871,1.5844,0.4690,14,0,false
18,56.00,88.00,0.6939,15,30,22.50,0.0559,0.0784,1.5844,0.4690,14,0,false
19,60.00,90.00,0.6939,14,29,21.50,0.0500,0.0711,1.5844,0.4690,12,0,false
20,62.00,90.00,0.6939,13,28,20.50,0.0454,0.0665,1.5844,0.4690,10,0,false
21,54.00,92.00,0.6939,12,27,19.50,0.0399,0.0619,1.5844,0.4690,9,0,false
22,68.00,92.00,0.6939,11,26,18.50,0.0366,0.0568,1.5844,0.4690,8,0,false
23,62.00,94.00,0.6939,10,25,17.50,0.0314,0.0510,1.5844,0.4690,8,0,false
24,62.00,94.00,0.6939,9,24,16.50,0.0289,0.0462,1.5844,0.9219,7,0,false
25,72.00,96.00,0.6939,8,23,15.50,0.0244,0.0410,1.5844,0.9219,7,0,false
26,68.00,96.00,0.6939,7,22,14.50,0.0227,0.0372,1.5844,0.9219,6,0,false
27,74.00,98.00,0.6939,6,21,13.50,0.0182,0.0316,1.5844,0.9219,6,0,false
28,70.00,100.00,0.6939,5,20,12.50,0.0144,0.0217,1.5844,0.9219,5,0,false
29,74.00,100.00,0.6939,4,19,11.50,0.0121,0.0153,1.5844,0.9219,5,0,false
30,74.00,100.00,0.6939,3,18,10.50,0.0108,0.0133,1.5844,0.9219,5,0,false
31,74.00,100.00,0.6939,2,17,9.50,0.0108,0.0133,1.5844,0.9219,4,0,false
32,74.00,100.00,0.6939,1,16,8.50,0.0106,0.0134,1.5844,0.9219,4,0,false
33,76.00,100.00,0.6939,0,15,7.50,0.0106,0.0135,1.5844,0.9219,3,0,false
34,76.00,100.00,0.7143,0,14,7.00,0.0106,0.0135,1.5844,0.9219,2,0,false
35,76.00,100.00,0.7347,0,13,6.50,0.0106,0.0135,1.5844,0.9219,2,0,false
36,76.00,100.00,0.7551,0,12,6.00,0.0106,0.0135,1.5844,0.9219,2,0,false
37,76.00,100.00,0.7755,0,11,5.50,0.0106,0.0135,1.5844,0.9219,2,0,false
38,76.00,100.00,0.7959,0,10,5.00,0.0106,0.0135,1.5844,0.9219,2,0,false
39,76.00,100.00,0.8163,0,9,4.50,0.0105,0.0135,1.5844,1.1568,2,0,false
40,76.00,100.00,0.8367,0,8,4.00,0.0104,0.0135,1.5844,1.1568,2,0,false
41,76.00,100.00,0.8571,0,7,3.50,0.0103,0.0136,1.5844,1.1568,2,0,false
42,76.00,100.00,0.8776,0,6,3.00,0.0103,0.0136,1.5844,1.1568,2,0,false
43,76.00,100.00,0.8980,0,5,2.50,0.0102,0.0136,1.5844,1.1568,1,0,false
44,74.00,100.00,0.9184,0,4,2.00,0.0102,0.0136,1.5844,1.1568,1,0,false
