step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,16.00,62.00,0.6939,33,48,40.50,0.1488,0.1012,1.5809,1.4855,0,0,false
1,36.00,66.00,0.2449,10,47,28.50,0.1264,0.1045,1.5809,1.3710,40,0,false
2,48.00,74.00,0.2449,9,46,27.50,0.1153,0.0992,1.5809,1.1568,42,0,false
3,44.00,78.00,0.2449,8,45,26.50,0.1062,0.0928,1.5809,0.9219,38,0,false
4,44.00,80.00,0.2449,7,44,25.50,0.0985,0.0879,1.5809,0.9219,37,0,false
5,56.00,84.00,0.2449,6,43,24.50,0.0872,0.0833,1.5809,0.7219,34,0,false
6,60.00,86.00,0.2449,5,42,23.50,0.0798,0.0800,1.5809,0.7219,31,0,false
7,56.00,88.00,0.2449,4,41,22.50,0.0762,0.0807,1.5809,0.7219,32,0,false
8,60.00,92.00,0.2245,2,40,21.00,0.0695,0.0798,1.5809,0.7219,27,0,false
9,68.00,92.00,0.2245,1,39,20.00,0.0626,0.0764,1.5809,0.7219,27,0,false
10,62.00,92.00,0.2449,1,38,19.50,0.0620,0.0750,1.5809,0.7219,22,0,false
11,66.00,92.00,0.2653,1,37,19.00,0.0602,0.0747,1.5809,0.7219,18,0,false
12,78.00,92.00,0.2857,1,36,18.50,0.0581,0.0732,1.5809,0.7219,18,0,false
13,80.00,92.00,0.3061,1,35,18.00,0.0551,0.0727,1.5809,0.7219,18,0,false
14,72.00,92.00,0.3265,1,34,17.50,0.0521,0.0704,1.5809,0.7219,16,0,false
15,80.00,92.00,0.3469,1,33,17.00,0.0498,0.0694,1.5809,0.7219,12,0,false
16,82.00,92.00,0.3673,1,32,16.50,0.0486,0.0681,1.5809,0.8813,13,0,false
17,84.00,92.00,0.3878,1,31,16.00,0.0455,0.0674,1.5809,0.8813,11,0,false
18,84.00,94.00,0.4082,1,30,15.50,0.0391,0.0628,1.5809,0.8813,7,0,false
19,80.00,96.00,0.4286,1,29,15.00,0.0355,0.0605,1.5809,0.8813,9,0,false
20,84.00,96.00,0.4490,1,28,14.50,0.0340,0.0577,1.5809,0.8813,8,0,false
21,82.00,96.00,0.4694,1,27,14.00,0.0322,0.0573,1.5809,0.8813,8,0,false
22,86.00,96.00,0.4898,1,26,13.50,0.0305,0.0566,1.5809,0.8813,8,0,false
23,84.00,96.00,0.5102,1,25,13.00,0.0291,0.0556,1.5809,0.8813,5,0,false
24,86.00,96.00,0.5306,1,24,12.50,0.0276,0.0534,1.5809,0.8813,4,0,false
25,92.00,96.00,0.5510,1,23,12.00,0.0257,0.0510,1.5809,0.8813,3,0,false
26,82.00,98.00,0.5714,1,22,11.50,0.0244,0.0485,1.5809,0.8813,3,0,false
27,90.00,98.00,0.5918,1,21,11.00,0.0218,0.0452,1.5809,0.8813,3,0,false
28,90.00,98.00,0.6122,1,20,10.50,0.0199,0.0422,1.5809,0.8813,3,0,false
29,82.00,98.00,0.6327,1,19,10.00,0.0197,0.0415,1.5809,0.8813,2,0,false
30,86.00,98.00,0.6531,1,18,9.50,0.0187,0.0413,1.5809,0.8813,2,0,false
31,90.00,98.00,0.6735,1,17,9.00,0.0177,0.0390,1.5809,0.8813,2,0,false
32,90.00,98.00,0.6939,1,16,8.50,0.0176,0.0365,1.5809,0.8813,1,0,false
33,90.00,98.00,0.7347,1,14,7.50,0.0167,0.0344,1.5809,0.8813,1,0,false
34,84.00,98.00,0.7551,1,13,7.00,0.0162,0.0313,1.5809,0.8813,1,0,false
35,92.00,98.00,0.7755,1,12,6.50,0.0158,0.0294,1.5809,0.8813,1,0,false
36,92.00,98.00,0.7959,1,11,6.00,0.0148,0.0264,1.5809,0.8813,1,0,false
37,90.00,100.00,0.8163,1,10,5.50,0.0135,0.0215,1.5809,0.8813,1,0,false
38,90.00,100.00,0.8367,1,9,5.00,0.0133,0.0184,1.5809,0.8813,1,0,false
39,90.00,100.00,0.8571,1,8,4.50,0.0124,0.0167,1.5809,0.8813,1,0,false
40,86.00,100.00,0.8980,1,6,3.50,0.0123,0.0150,1.5809,0.8813,1,0,false
41,90.00,100.00,0.9184,1,5,3.00,0.0118,0.0144,1.5809,0.8813,1,0,false
42,90.00,100.00,0.9388,1,4,2.50,0.0117,0.0137,1.5809,0.8813,1,0,false
