step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,62.00,58.00,0.6939,33,48,40.50,0.1491,0.1236,1.5664,0.7219,0,0,false
1,64.00,76.00,0.6939,32,47,39.50,0.1219,0.1278,1.5664,1.1568,39,0,false
2,78.00,70.00,0.7347,31,44,37.50,0.1215,0.1208,1.5664,0.9710,32,0,false
3,88.00,82.00,0.7347,30,43,36.50,0.1019,0.1223,1.5664,0.8813,35,0,false
4,72.00,80.00,0.7551,29,41,35.00,0.0922,0.1098,1.5664,0.9710,25,0,false
5,74.00,82.00,0.7755,28,39,33.50,0.0868,0.1129,1.5664,0.9710,26,0,false
6,84.00,80.00,0.7755,27,38,32.50,0.0894,0.0948,1.5664,0.9710,37,0,false
7,78.00,80.00,0.6531,19,36,27.50,0.0873,0.0909,1.5664,0.9710,24,0,false
8,80.00,82.00,0.6531,18,35,26.50,0.0841,0.0902,1.5664,0.9710,21,0,false
9,82.00,84.00,0.6531,17,34,25.50,0.0821,0.0893,1.5664,1.0000,23,0,false
10,82.00,84.00,0.6327,15,33,24.00,0.0735,0.0895,1.5664,0.9710,14,0,false
11,86.00,86.00,0.5714,11,32,21.50,0.0711,0.0874,1.5664,0.9710,11,0,false
12,86.00,90.00,0.5714,9,30,19.50,0.0644,0.0800,1.5664,1.0000,19,0,false
13,88.00,90.00,0.5918,8,28,18.00,0.0592,0.0714,1.5664,1.0000,30,0,false
14,84.00,94.00,0.5918,7,27,17.00,0.0514,0.0707,1.5664,1.0000,15,0,false
15,90.00,94.00,0.5714,5,26,15.50,0.0473,0.0678,1.5664,1.0000,18,0,false
16,92.00,96.00,0.6122,4,23,13.50,0.0429,0.0642,1.5664,1.0000,22,0,false
17,90.00,98.00,0.6122,3,22,12.50,0.0373,0.0578,1.5664,1.0000,25,0,false
18,88.00,98.00,0.6122,2,21,11.50,0.0328,0.0493,1.5664,1.0000,15,0,false
19,92.00,96.00,0.5918,1,21,11.00,0.0307,0.0538,1.5664,1.0000,14,0,false
20,90.00,100.00,0.5714,0,21,10.50,0.0228,0.0414,1.5664,1.0000,9,0,false
21,90.00,100.00,0.6327,0,18,9.00,0.0250,0.0480,1.5664,0.9710,5,0,false
22,94.00,100.00,0.6939,0,15,7.50,0.0243,0.0447,1.5664,0.9710,5,0,false
23,94.00,100.00,0.7347,0,13,6.50,0.0233,0.0435,1.5664,0.9710,7,0,false
24,90.00,100.00,0.7551,0,12,6.00,0.0244,0.0354,1.5664,0.9710,10,0,false
25,86.00,98.00,0.7755,0,11,5.50,0.0263,0.0383,1.5664,0.9710,10,0,false
26,86.00,98.00,0.7551,0,12,6.00,0.0242,0.0366,1.5664,0.9710,6,0,false
27,88.00,98.00,0.8163,0,9,4.50,0.0235,0.0358,1.5664,0.7219,6,0,false
28,88.00,98.00,0.8367,0,8,4.00,0.0234,0.0341,1.5664,0.7219,7,0,false
29,88.00,98.00,0.8571,0,7,3.50,0.0225,0.0336,1.5664,0.7219,7,0,false
30,88.00,98.00,0.8776,0,6,3.00,0.0218,0.0326,1.5664,0.7219,7,0,false
31,88.00,98.00,0.8980,0,5,2.50,0.0212,0.0321,1.5664,0.7219,7,0,false
32,88.00,98.00,0.9184,0,4,2.00,0.0202,0.0321,1.5664,0.7219,7,0,false
