step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,4.00,52.00,0.0000,33,-1,33.00,0.2231,0.1397,1.5844,1.5710,0,0,false
1,8.00,56.00,0.0000,32,-1,32.00,0.2127,0.1397,1.5844,1.5219,45,0,false
2,20.00,60.00,0.0000,31,-1,31.00,0.2002,0.1371,1.5844,1.5710,42,0,false
3,20.00,66.00,0.0000,30,-1,30.00,0.1834,0.1370,1.5844,1.5219,36,0,false
4,28.00,66.00,0.0000,29,-1,29.00,0.1713,0.1368,1.5844,1.4855,33,0,false
5,42.00,70.00,0.0000,28,-1,28.00,0.1594,0.1340,1.5844,1.4855,30,0,false
6,46.00,72.00,0.0000,27,-1,27.00,0.1491,0.1309,1.5844,1.4855,27,0,false
7,54.00,72.00,0.0000,26,-1,26.00,0.1404,0.1265,1.5844,1.3710,25,0,false
8,50.00,78.00,0.0000,25,-1,25.00,0.1300,0.1232,1.5844,1.3710,23,0,false
9,40.00,78.00,0.0000,24,-1,24.00,0.1202,0.1173,1.5844,1.3710,23,0,false
10,38.00,80.00,0.0000,23,-1,23.00,0.1123,0.1112,1.5844,1.1568,21,0,false
11,52.00,82.00,0.0000,22,-1,22.00,0.1016,0.1070,1.5844,1.1568,21,0,false
12,56.00,84.00,0.0000,21,-1,21.00,0.0940,0.1013,1.5844,1.1568,21,0,false
13,48.00,84.00,0.0000,20,-1,20.00,0.0858,0.0971,1.5844,0.9219,20,0,false
14,62.00,86.00,0.0000,19,-1,19.00,0.0768,0.0928,1.5844,0.9219,19,0,false
15,60.00,86.00,0.0000,18,-1,18.00,0.0712,0.0853,1.5844,0.9219,16,0,false
16,64.00,88.00,0.0000,17,-1,17.00,0.0649,0.0805,1.5844,0.4690,16,0,false
17,64.00,90.00,0.0000,16,-1,16.00,0.0587,0.0758,1.5844,0.4690,16,0,false
18,58.00,90.00,0.0000,15,-1,15.00,0.0534,0.0709,1.5844,0.4690,15,0,false
19,74.00,94.00,0.0000,14,-1,14.00,0.0473,0.0659,1.5844,0.0000,15,0,false
20,62.00,94.00,0.0000,13,-1,13.00,0.0411,0.0599,1.5844,0.0000,13,0,false
21,70.00,92.00,0.0000,12,-1,12.00,0.0367,0.0550,1.5844,0.0000,10,0,false
22,72.00,94.00,0.0000,11,-1,11.00,0.0306,0.0486,1.5844,0.0000,9,0,false
23,72.00,98.00,0.0000,10,-1,10.00,0.0261,0.0399,1.5844,0.0000,8,0,false
24,74.00,98.00,0.0000,9,-1,9.00,0.0238,0.0350,1.5844,0.4690,8,0,false
25,78.00,100.00,0.0000,8,-1,8.00,0.0184,0.0279,1.5844,0.4690,6,0,false
26,80.00,100.00,0.0000,7,-1,7.00,0.0173,0.0219,1.5844,0.4690,6,0,false
27,80.00,100.00,0.0000,6,-1,6.00,0.0146,0.0190,1.5844,0.4690,4,0,false
28,82.00,100.00,0.0000,5,-1,5.00,0.0123,0.0159,1.5844,0.4690,4,0,false
29,88.00,100.00,0.0000,4,-1,4.00,0.0121,0.0149,1.5844,0.4690,4,0,false
30,84.00,100.00,0.0000,3,-1,3.00,0.0105,0.0139,1.5844,0.4690,4,0,false
31,90.00,100.00,0.0000,2,-1,2.00,0.0101,0.0138,1.5844,0.4690,4,0,false
32,88.00,100.00,0.0000,1,-1,1.00,0.0101,0.0138,1.5844,0.4690,3,0,false
33,90.00,100.00,0.0000,0,-1,0.00,0.0101,0.0138,1.5844,0.4690,3,0,false
34,90.00,100.00,0.0000,0,-1,0.00,0.0101,0.0138,1.5844,0.4690,2,0,false
35,90.00,100.00,0.0000,0,-1,0.00,0.0100,0.0138,1.5844,0.4690,2,0,false
36,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,2,0,false
37,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,1,false
38,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,2,false
39,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,3,false
40,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,4,false
41,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,5,false
42,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,6,false
43,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,7,false
44,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,8,false
45,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,9,false
46,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,10,false
47,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,11,false
48,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,12,false
49,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,13,false
50,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,14,false
51,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,15,false
52,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,16,false
53,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,17,false
54,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,18,false
55,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,19,false
56,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,20,false
57,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,21,false
58,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,22,false
59,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,23,false
60,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,24,false
61,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,25,false
62,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,26,false
63,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,27,false
64,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,28,false
65,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,29,false
66,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,30,false
67,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,31,false
68,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,32,false
69,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,33,false
70,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,34,false
71,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,35,false
72,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,36,false
73,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,37,false
74,90.00,100.00,0.0000,0,-1,0.00,0.0099,0.0139,1.5844,0.4690,0,38,false
