step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,14.00,62.00,0.6939,33,48,40.50,0.1435,0.1044,1.5776,1.5710,0,0,false
1,36.00,66.00,0.7143,32,46,39.00,0.1304,0.1099,1.5776,1.5710,44,0,false
2,32.00,68.00,0.7143,31,45,38.00,0.1190,0.1031,1.5776,1.5710,44,0,false
3,40.00,70.00,0.7143,30,44,37.00,0.1073,0.1000,1.5776,1.5710,38,0,false
4,40.00,76.00,0.7347,29,42,35.50,0.0933,0.0970,1.5776,1.4855,33,0,false
5,34.00,76.00,0.7347,28,41,34.50,0.0852,0.0897,1.5776,1.5219,29,0,false
6,30.00,78.00,0.7347,27,40,33.50,0.0797,0.0846,1.5776,1.5710,27,0,false
7,40.00,82.00,0.7347,26,39,32.50,0.0688,0.0809,1.5776,1.5710,26,0,false
8,50.00,82.00,0.7347,25,38,31.50,0.0637,0.0755,1.5776,1.5710,20,0,false
9,42.00,84.00,0.7347,24,37,30.50,0.0597,0.0724,1.5776,1.5710,18,0,false
10,58.00,86.00,0.7347,23,36,29.50,0.0541,0.0708,1.5776,1.5710,17,0,false
11,54.00,86.00,0.7347,22,35,28.50,0.0511,0.0686,1.5776,1.5710,17,0,false
12,54.00,92.00,0.7347,21,34,27.50,0.0466,0.0651,1.5776,1.5710,16,0,false
13,52.00,92.00,0.7347,20,33,26.50,0.0445,0.0620,1.5776,1.5710,15,0,false
14,60.00,92.00,0.7347,19,32,25.50,0.0422,0.0607,1.5776,1.5710,14,0,false
15,54.00,92.00,0.7347,18,31,24.50,0.0413,0.0605,1.5776,1.5710,13,0,false
16,64.00,92.00,0.7347,17,30,23.50,0.0403,0.0608,1.5776,1.5710,13,0,false
17,62.00,92.00,0.7347,16,29,22.50,0.0399,0.0605,1.5776,1.5710,11,0,false
18,66.00,92.00,0.7347,15,28,21.50,0.0397,0.0602,1.5776,1.5710,10,0,false
19,68.00,92.00,0.7347,14,27,20.50,0.0395,0.0598,1.5776,1.5710,10,0,false
20,58.00,92.00,0.7347,13,26,19.50,0.0394,0.0597,1.5776,1.5710,9,0,false
21,68.00,92.00,0.7347,12,25,18.50,0.0394,0.0595,1.5776,1.5710,7,0,false
22,60.00,92.00,0.7347,11,24,17.50,0.0393,0.0594,1.5776,1.5710,6,0,false
23,50.00,92.00,0.7347,10,23,16.50,0.0393,0.0594,1.5776,1.5219,6,0,false
24,54.00,92.00,0.7347,9,22,15.50,0.0393,0.0593,1.5776,1.3610,6,0,false
25,64.00,92.00,0.7347,8,21,14.50,0.0365,0.0591,1.5776,1.3610,6,0,false
26,68.00,92.00,0.7347,7,20,13.50,0.0358,0.0557,1.5776,1.3610,5,0,false
27,62.00,94.00,0.7143,5,19,12.00,0.0350,0.0548,1.5776,1.3610,5,0,false
28,58.00,94.00,0.7143,4,18,11.00,0.0339,0.0538,1.5776,1.3610,5,0,false
29,62.00,94.00,0.7143,3,17,10.00,0.0304,0.0503,1.5776,1.0000,5,0,false
30,62.00,96.00,0.7143,2,16,9.00,0.0290,0.0468,1.5776,1.0000,5,0,false
31,62.00,96.00,0.7143,1,15,8.00,0.0277,0.0459,1.5776,1.0000,5,0,false
32,62.00,96.00,0.7143,0,14,7.00,0.0262,0.0452,1.5776,1.0000,5,0,false
33,66.00,98.00,0.7347,0,13,6.50,0.0228,0.0411,1.5776,1.0000,4,0,false
34,64.00,98.00,0.7551,0,12,6.00,0.0187,0.0364,1.5776,1.0000,4,0,false
35,64.00,98.00,0.7755,0,11,5.50,0.0176,0.0297,1.5776,1.0000,3,0,false
36,68.00,98.00,0.7959,0,10,5.00,0.0159,0.0270,1.5776,1.0000,2,0,false
37,72.00,100.00,0.8367,0,8,4.00,0.0144,0.0237,1.5776,0.9710,2,0,false
38,64.00,100.00,0.8571,0,7,3.50,0.0127,0.0202,1.5776,0.9710,2,0,false
39,64.00,100.00,0.8776,0,6,3.00,0.0120,0.0175,1.5776,0.9710,1,0,false
40,64.00,100.00,0.8980,0,5,2.50,0.0114,0.0162,1.5776,0.9710,1,0,false
41,64.00,100.00,0.9184,0,4,2.00,0.0112,0.0155,1.5776,0.9710,1,0,false
