step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,46,-1,46.00,0.1885,0.1402,1.5844,0.0000,0
1,98.00,45,-1,45.00,0.1851,0.1345,1.5844,0.0000,44
2,100.00,44,-1,44.00,0.1686,0.1375,1.5844,0.0000,41
3,100.00,43,-1,43.00,0.1657,0.1400,1.5844,0.0000,38
4,100.00,42,-1,42.00,0.1616,0.1389,1.5844,0.0000,38
5,100.00,41,-1,41.00,0.1604,0.1338,1.5844,0.0000,37
6,100.00,40,-1,40.00,0.1548,0.1325,1.5844,0.0000,36
7,96.00,39,-1,39.00,0.1509,0.1294,1.5844,0.0000,32
8,92.00,38,-1,38.00,0.1361,0.1229,1.5844,0.4690,32
9,92.00,37,-1,37.00,0.1322,0.1235,1.5844,0.7219,30
10,88.00,36,-1,36.00,0.1147,0.1166,1.5844,0.8813,30
11,84.00,35,-1,35.00,0.1120,0.1134,1.5844,0.9710,28
12,82.00,34,-1,34.00,0.1079,0.1098,1.5844,1.0000,28
13,82.00,33,-1,33.00,0.0967,0.1029,1.5844,1.0000,26
14,84.00,32,-1,32.00,0.0875,0.0930,1.5844,1.0000,24
15,84.00,31,-1,31.00,0.0807,0.0889,1.5844,1.0000,22
16,84.00,30,-1,30.00,0.0722,0.0820,1.5844,1.0000,21
17,84.00,29,-1,29.00,0.0637,0.0784,1.5844,1.0000,18
18,86.00,28,-1,28.00,0.0532,0.0743,1.5844,1.0000,14
19,80.00,27,-1,27.00,0.0477,0.0688,1.5844,1.0000,13
20,86.00,26,-1,26.00,0.0372,0.0605,1.5844,1.0000,13
21,90.00,25,-1,25.00,0.0295,0.0455,1.5844,1.0000,10
22,90.00,24,-1,24.00,0.0227,0.0424,1.5844,1.0000,7
23,86.00,23,-1,23.00,0.0210,0.0419,1.5844,1.0000,5
24,82.00,22,-1,22.00,0.0193,0.0389,1.5844,1.0000,5
25,76.00,21,-1,21.00,0.0176,0.0357,1.5844,1.0000,5
26,78.00,20,-1,20.00,0.0170,0.0355,1.5844,1.0000,5
27,76.00,19,-1,19.00,0.0164,0.0357,1.5844,1.0000,4
28,82.00,18,-1,18.00,0.0159,0.0358,1.5844,1.0000,3
29,86.00,17,-1,17.00,0.0153,0.0351,1.5844,1.0000,2
30,90.00,16,-1,16.00,0.0147,0.0343,1.5844,1.0000,2
31,90.00,15,-1,15.00,0.0147,0.0343,1.5844,1.0000,1
32,90.00,14,-1,14.00,0.0147,0.0343,1.5844,1.0000,1
33,90.00,13,-1,13.00,0.0147,0.0343,1.5844,1.0000,1
34,86.00,12,-1,12.00,0.0147,0.0343,1.5844,1.0000,1
35,88.00,11,-1,11.00,0.0102,0.0280,1.5844,1.0000,1
36,88.00,11,-1,11.00,0.0102,0.0280,1.5844,1.0000,0
