step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,44.00,47,-1,47.00,0.1973,0.1318,1.5844,1.2955,0
1,48.00,46,-1,46.00,0.1979,0.1313,1.5844,1.1568,46
2,50.00,45,-1,45.00,0.1913,0.1359,1.5844,1.1568,43
3,46.00,44,-1,44.00,0.1842,0.1322,1.5844,0.9219,41
4,56.00,43,-1,43.00,0.1754,0.1343,1.5844,0.9219,34
5,52.00,42,-1,42.00,0.1672,0.1375,1.5844,0.4690,33
6,58.00,41,-1,41.00,0.1633,0.1380,1.5844,0.4690,30
7,58.00,40,-1,40.00,0.1560,0.1394,1.5844,0.7219,30
8,58.00,39,-1,39.00,0.1451,0.1394,1.5844,0.7219,27
9,60.00,38,-1,38.00,0.1364,0.1334,1.5844,0.7219,25
10,60.00,37,-1,37.00,0.1301,0.1283,1.5844,0.7219,22
11,60.00,36,-1,36.00,0.1237,0.1232,1.5844,0.7219,21
12,58.00,35,-1,35.00,0.1192,0.1218,1.5844,0.7219,18
13,74.00,34,-1,34.00,0.1133,0.1204,1.5844,0.8813,17
14,68.00,33,-1,33.00,0.1037,0.1171,1.5844,1.2955,16
15,56.00,32,-1,32.00,0.1003,0.1092,1.5844,1.2955,15
16,56.00,31,-1,31.00,0.0926,0.1064,1.5844,1.2955,15
17,66.00,30,-1,30.00,0.0872,0.1033,1.5844,1.3710,15
18,60.00,29,-1,29.00,0.0781,0.0981,1.5844,1.4855,14
19,64.00,28,-1,28.00,0.0727,0.0920,1.5844,1.4855,13
20,66.00,27,-1,27.00,0.0627,0.0863,1.5844,1.4855,13
21,72.00,26,-1,26.00,0.0570,0.0796,1.5844,1.4855,11
22,76.00,25,-1,25.00,0.0491,0.0737,1.5844,1.4855,11
23,70.00,24,-1,24.00,0.0454,0.0671,1.5844,1.4855,9
24,72.00,23,-1,23.00,0.0437,0.0649,1.5844,1.4855,8
25,80.00,22,-1,22.00,0.0368,0.0607,1.5844,1.4855,8
26,76.00,21,-1,21.00,0.0312,0.0529,1.5844,1.4855,7
27,78.00,20,-1,20.00,0.0312,0.0503,1.5844,1.5219,5
28,74.00,19,-1,19.00,0.0306,0.0499,1.5844,1.5219,5
29,80.00,18,-1,18.00,0.0261,0.0467,1.5844,1.4855,5
30,72.00,17,-1,17.00,0.0198,0.0410,1.5844,1.3710,4
31,78.00,16,-1,16.00,0.0198,0.0383,1.5844,1.3710,2
32,82.00,15,-1,15.00,0.0147,0.0327,1.5844,1.3710,2
33,82.00,14,-1,14.00,0.0147,0.0317,1.5844,1.3710,1
34,78.00,13,-1,13.00,0.0147,0.0317,1.5844,1.3710,1
35,78.00,12,-1,12.00,0.0147,0.0317,1.5844,1.3710,1
36,82.00,11,-1,11.00,0.0102,0.0248,1.5844,1.3710,1
37,82.00,11,-1,11.00,0.0102,0.0248,1.5844,1.3710,0
