step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,60.00,-1,-1,-1.00,0.1681,0.1171,1.5844,1.3610,0
1,42.00,-1,-1,-1.00,0.1620,0.1196,1.5844,1.5219,37
2,46.00,-1,-1,-1.00,0.1591,0.1194,1.5844,1.5219,35
3,46.00,-1,-1,-1.00,0.1509,0.1190,1.5844,1.5710,35
4,52.00,-1,-1,-1.00,0.1441,0.1215,1.5844,1.5219,34
5,48.00,-1,-1,-1.00,0.1371,0.1224,1.5844,1.5219,32
6,56.00,-1,-1,-1.00,0.1371,0.1187,1.5844,1.5219,30
7,52.00,-1,-1,-1.00,0.1249,0.1210,1.5844,1.3610,30
8,44.00,-1,-1,-1.00,0.1185,0.1195,1.5844,1.3610,29
9,32.00,-1,-1,-1.00,0.1115,0.1185,1.5844,1.3610,25
10,48.00,-1,-1,-1.00,0.1074,0.1116,1.5844,1.3610,24
11,36.00,-1,-1,-1.00,0.0993,0.1051,1.5844,1.2955,24
12,40.00,-1,-1,-1.00,0.0936,0.0927,1.5844,1.2955,22
13,50.00,-1,-1,-1.00,0.0911,0.0889,1.5844,1.2955,22
14,42.00,-1,-1,-1.00,0.0838,0.0865,1.5844,0.9710,22
15,52.00,-1,-1,-1.00,0.0799,0.0814,1.5844,0.9710,20
16,44.00,-1,-1,-1.00,0.0726,0.0802,1.5844,0.8813,20
17,38.00,-1,-1,-1.00,0.0701,0.0777,1.5844,0.8813,18
18,42.00,-1,-1,-1.00,0.0621,0.0744,1.5844,0.8813,16
19,40.00,-1,-1,-1.00,0.0557,0.0695,1.5844,0.9710,15
20,54.00,-1,-1,-1.00,0.0495,0.0614,1.5844,1.3610,14
21,48.00,-1,-1,-1.00,0.0424,0.0594,1.5844,1.2955,14
22,52.00,-1,-1,-1.00,0.0388,0.0566,1.5844,1.2955,13
23,52.00,-1,-1,-1.00,0.0354,0.0524,1.5844,1.2955,10
24,60.00,-1,-1,-1.00,0.0320,0.0474,1.5844,1.1568,9
25,54.00,-1,-1,-1.00,0.0282,0.0444,1.5844,1.1568,9
26,54.00,-1,-1,-1.00,0.0248,0.0394,1.5844,1.1568,8
27,52.00,-1,-1,-1.00,0.0226,0.0379,1.5844,1.1568,8
28,48.00,-1,-1,-1.00,0.0192,0.0360,1.5844,1.1568,6
29,48.00,-1,-1,-1.00,0.0171,0.0356,1.5844,1.1568,5
30,58.00,-1,-1,-1.00,0.0151,0.0351,1.5844,1.1568,4
31,52.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,2
32,54.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,1
33,54.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,1
34,54.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,1
35,52.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,1
36,50.00,-1,-1,-1.00,0.0130,0.0306,1.5844,1.1568,1
37,50.00,-1,-1,-1.00,0.0096,0.0242,1.5844,1.3710,1
38,52.00,-1,-1,-1.00,0.0096,0.0211,1.5844,1.3710,1
39,52.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.3710,1
40,52.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.3710,0
