step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,74.00,-1,-1,-1.00,0.1542,0.1201,1.5844,1.4855,0
1,64.00,-1,-1,-1.00,0.1474,0.1192,1.5844,1.5219,44
2,56.00,-1,-1,-1.00,0.1445,0.1149,1.5844,1.5710,39
3,54.00,-1,-1,-1.00,0.1309,0.1137,1.5844,1.5710,39
4,62.00,-1,-1,-1.00,0.1227,0.1092,1.5844,1.5710,39
5,68.00,-1,-1,-1.00,0.1137,0.1053,1.5844,1.5710,33
6,64.00,-1,-1,-1.00,0.1085,0.1000,1.5844,1.5710,28
7,62.00,-1,-1,-1.00,0.1012,0.1017,1.5844,1.4855,26
8,58.00,-1,-1,-1.00,0.0959,0.0986,1.5844,1.3610,24
9,62.00,-1,-1,-1.00,0.0886,0.0962,1.5844,1.3610,24
10,60.00,-1,-1,-1.00,0.0854,0.0912,1.5844,1.2955,20
11,56.00,-1,-1,-1.00,0.0807,0.0861,1.5844,1.2955,20
12,58.00,-1,-1,-1.00,0.0725,0.0826,1.5844,1.3610,20
13,68.00,-1,-1,-1.00,0.0691,0.0774,1.5844,1.3610,19
14,56.00,-1,-1,-1.00,0.0599,0.0762,1.5844,1.4855,19
15,54.00,-1,-1,-1.00,0.0569,0.0720,1.5844,1.4855,15
16,50.00,-1,-1,-1.00,0.0552,0.0709,1.5844,1.5710,14
17,50.00,-1,-1,-1.00,0.0518,0.0694,1.5844,1.5710,13
18,58.00,-1,-1,-1.00,0.0467,0.0684,1.5844,1.5219,13
19,50.00,-1,-1,-1.00,0.0392,0.0640,1.5844,1.4855,9
20,54.00,-1,-1,-1.00,0.0379,0.0608,1.5844,1.4855,5
21,52.00,-1,-1,-1.00,0.0324,0.0551,1.5844,1.4855,5
22,58.00,-1,-1,-1.00,0.0290,0.0480,1.5844,1.4855,5
23,46.00,-1,-1,-1.00,0.0270,0.0442,1.5844,1.4855,5
24,46.00,-1,-1,-1.00,0.0236,0.0385,1.5844,1.4855,5
25,54.00,-1,-1,-1.00,0.0215,0.0334,1.5844,1.4855,5
26,42.00,-1,-1,-1.00,0.0181,0.0283,1.5844,1.4855,5
27,54.00,-1,-1,-1.00,0.0164,0.0276,1.5844,1.4855,4
28,56.00,-1,-1,-1.00,0.0113,0.0224,1.5844,1.4855,4
29,56.00,-1,-1,-1.00,0.0113,0.0219,1.5844,1.4855,3
30,50.00,-1,-1,-1.00,0.0096,0.0205,1.5844,1.4855,3
31,42.00,-1,-1,-1.00,0.0096,0.0199,1.5844,1.4855,3
32,52.00,-1,-1,-1.00,0.0096,0.0199,1.5844,1.4855,3
33,48.00,-1,-1,-1.00,0.0096,0.0199,1.5844,1.3610,3
34,46.00,-1,-1,-1.00,0.0096,0.0199,1.5844,1.3610,3
35,44.00,-1,-1,-1.00,0.0096,0.0199,1.5844,1.3610,3
36,56.00,-1,-1,-1.00,0.0091,0.0200,1.5844,1.3610,3
37,56.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.3610,2
38,56.00,-1,-1,-1.00,0.0085,0.0200,1.5844,1.3610,1
39,52.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.3610,1
40,52.00,-1,-1,-1.00,0.0079,0.0201,1.5844,1.3610,0
