step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,41,-1,41.00,0.1610,0.1196,0.0000,0.0000,0
1,100.00,40,-1,40.00,0.1545,0.1195,0.0000,0.0000,42
2,100.00,39,-1,39.00,0.1421,0.1210,0.0000,0.0000,39
3,100.00,38,-1,38.00,0.1314,0.1215,0.0000,0.0000,36
4,100.00,37,-1,37.00,0.1207,0.1189,0.0000,0.0000,32
5,100.00,36,-1,36.00,0.1100,0.1124,0.0000,0.0000,31
6,100.00,35,-1,35.00,0.0993,0.0989,0.0000,0.0000,26
7,100.00,34,-1,34.00,0.0939,0.0955,0.0000,0.0000,22
8,100.00,33,-1,33.00,0.0885,0.0920,0.0000,0.0000,21
9,100.00,32,-1,32.00,0.0813,0.0914,0.0000,0.0000,21
10,100.00,31,-1,31.00,0.0742,0.0850,0.0000,0.0000,20
11,100.00,30,-1,30.00,0.0742,0.0819,0.0000,0.0000,20
12,100.00,29,-1,29.00,0.0736,0.0824,0.0000,0.0000,20
13,100.00,28,-1,28.00,0.0730,0.0825,0.0000,0.0000,18
14,100.00,27,-1,27.00,0.0659,0.0806,0.0000,0.0000,18
15,100.00,26,-1,26.00,0.0587,0.0737,0.0000,0.0000,18
16,100.00,25,-1,25.00,0.0570,0.0714,0.0000,0.0000,17
17,100.00,24,-1,24.00,0.0465,0.0629,0.0000,0.0000,17
18,100.00,23,-1,23.00,0.0411,0.0563,0.0000,0.0000,14
19,100.00,22,-1,22.00,0.0405,0.0540,0.0000,0.0000,13
20,100.00,21,-1,21.00,0.0382,0.0543,0.0000,0.0000,12
21,100.00,20,-1,20.00,0.0320,0.0510,0.0000,0.0000,10
22,100.00,19,-1,19.00,0.0320,0.0510,0.0000,0.0000,8
23,100.00,18,-1,18.00,0.0303,0.0492,0.0000,0.0000,8
24,100.00,17,-1,17.00,0.0286,0.0470,0.0000,0.0000,8
25,100.00,16,-1,16.00,0.0218,0.0434,0.0000,0.0000,7
26,100.00,15,-1,15.00,0.0201,0.0422,0.0000,0.0000,6
27,100.00,14,-1,14.00,0.0201,0.0419,0.0000,0.0000,6
28,100.00,13,-1,13.00,0.0201,0.0419,0.0000,0.0000,6
29,100.00,12,-1,12.00,0.0195,0.0413,0.0000,0.0000,6
30,100.00,11,-1,11.00,0.0190,0.0407,0.0000,0.0000,6
31,100.00,10,-1,10.00,0.0190,0.0407,0.0000,0.0000,4
32,100.00,9,-1,9.00,0.0138,0.0362,0.0000,0.0000,4
33,100.00,8,-1,8.00,0.0133,0.0363,0.0000,0.0000,2
34,100.00,7,-1,7.00,0.0133,0.0363,0.0000,0.0000,1
35,100.00,6,-1,6.00,0.0133,0.0363,0.0000,0.0000,1
36,100.00,5,-1,5.00,0.0087,0.0302,0.0000,0.0000,1
37,100.00,5,-1,5.00,0.0087,0.0302,0.0000,0.0000,0
