step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,100.00,42,-1,42.00,0.1466,0.1357,1.5844,0.0000,0
1,98.00,41,-1,41.00,0.1495,0.1371,1.5844,0.0000,43
2,94.00,40,-1,40.00,0.1438,0.1371,1.5844,0.0000,42
3,96.00,39,-1,39.00,0.1398,0.1353,1.5844,0.0000,40
4,94.00,38,-1,38.00,0.1262,0.1381,1.5844,0.0000,38
5,92.00,37,-1,37.00,0.1250,0.1345,1.5844,0.0000,30
6,94.00,36,-1,36.00,0.1211,0.1345,1.5844,0.0000,30
7,92.00,35,-1,35.00,0.1211,0.1333,1.5844,0.0000,29
8,88.00,34,-1,34.00,0.1172,0.1326,1.5844,0.4690,29
9,88.00,33,-1,33.00,0.1133,0.1283,1.5844,0.7219,27
10,86.00,32,-1,32.00,0.1122,0.1237,1.5844,0.8813,27
11,88.00,31,-1,31.00,0.1110,0.1226,1.5844,0.9710,27
12,84.00,30,-1,30.00,0.1083,0.1228,1.5844,1.0000,27
13,80.00,29,-1,29.00,0.1056,0.1216,1.5844,0.9710,27
14,82.00,28,-1,28.00,0.0892,0.1083,1.5844,0.8813,27
15,82.00,27,-1,27.00,0.0774,0.0983,1.5844,0.7219,26
16,84.00,26,-1,26.00,0.0684,0.0888,1.5844,0.7219,19
17,82.00,25,-1,25.00,0.0561,0.0816,1.5844,0.7219,18
18,80.00,24,-1,24.00,0.0561,0.0786,1.5844,0.7219,16
19,76.00,23,-1,23.00,0.0502,0.0791,1.5844,0.7219,16
20,82.00,22,-1,22.00,0.0489,0.0780,1.5844,0.7219,12
21,86.00,21,-1,21.00,0.0452,0.0731,1.5844,0.7219,12
22,90.00,20,-1,20.00,0.0384,0.0653,1.5844,0.7219,12
23,90.00,19,-1,19.00,0.0268,0.0481,1.5844,0.7219,11
24,88.00,18,-1,18.00,0.0247,0.0429,1.5844,0.7219,6
25,84.00,17,-1,17.00,0.0227,0.0408,1.5844,0.7219,4
26,86.00,16,-1,16.00,0.0227,0.0387,1.5844,0.7219,4
27,84.00,15,-1,15.00,0.0193,0.0368,1.5844,0.7219,4
28,88.00,14,-1,14.00,0.0176,0.0364,1.5844,0.7219,3
29,92.00,13,-1,13.00,0.0153,0.0329,1.5844,0.7219,3
30,92.00,12,-1,12.00,0.0147,0.0317,1.5844,0.7219,2
31,88.00,11,-1,11.00,0.0147,0.0317,1.5844,0.7219,1
32,90.00,10,-1,10.00,0.0102,0.0248,1.5844,0.7219,1
33,90.00,10,-1,10.00,0.0102,0.0248,1.5844,0.7219,0
