step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,0.00,42,-1,42.00,0.1934,0.1277,1.5844,1.5710,0
1,20.00,41,-1,41.00,0.1941,0.1276,1.5844,1.5219,41
2,8.00,40,-1,40.00,0.1873,0.1332,1.5844,1.5219,40
3,32.00,39,-1,39.00,0.1832,0.1271,1.5844,1.5219,36
4,12.00,38,-1,38.00,0.1747,0.1265,1.5844,1.5219,35
5,24.00,37,-1,37.00,0.1691,0.1251,1.5844,1.5710,33
6,26.00,36,-1,36.00,0.1610,0.1236,1.5844,1.5710,32
7,20.00,35,-1,35.00,0.1528,0.1196,1.5844,1.5710,30
8,28.00,34,-1,34.00,0.1438,0.1146,1.5844,1.5219,27
9,36.00,33,-1,33.00,0.1302,0.1144,1.5844,1.5219,26
10,32.00,32,-1,32.00,0.1195,0.1079,1.5844,1.3610,25
11,36.00,31,-1,31.00,0.1127,0.1044,1.5844,1.3610,22
12,52.00,30,-1,30.00,0.0998,0.1078,1.5844,1.3610,20
13,42.00,29,-1,29.00,0.0922,0.1058,1.5844,1.3610,17
14,32.00,28,-1,28.00,0.0833,0.1055,1.5844,1.3610,14
15,40.00,27,-1,27.00,0.0794,0.1024,1.5844,1.3610,12
16,36.00,26,-1,26.00,0.0763,0.1009,1.5844,1.3610,12
17,36.00,25,-1,25.00,0.0737,0.0993,1.5844,1.3610,12
18,46.00,24,-1,24.00,0.0689,0.0949,1.5844,1.4855,11
19,44.00,23,-1,23.00,0.0628,0.0871,1.5844,1.4855,11
20,32.00,22,-1,22.00,0.0567,0.0782,1.5844,1.4855,11
21,42.00,21,-1,21.00,0.0516,0.0734,1.5844,1.4855,10
22,30.00,20,-1,20.00,0.0493,0.0698,1.5844,1.4855,9
23,36.00,19,-1,19.00,0.0488,0.0677,1.5844,1.4855,9
24,46.00,18,-1,18.00,0.0429,0.0667,1.5844,1.4855,9
25,32.00,17,-1,17.00,0.0370,0.0641,1.5844,1.4855,7
26,40.00,16,-1,16.00,0.0349,0.0610,1.5844,1.4855,6
27,46.00,15,-1,15.00,0.0336,0.0600,1.5844,1.4855,6
28,44.00,14,-1,14.00,0.0336,0.0600,1.5844,1.3710,5
29,44.00,13,-1,13.00,0.0281,0.0596,1.5844,1.3710,5
30,40.00,12,-1,12.00,0.0281,0.0574,1.5844,1.3710,3
31,44.00,11,-1,11.00,0.0261,0.0550,1.5844,1.3710,3
32,46.00,10,-1,10.00,0.0261,0.0523,1.5844,1.3710,3
33,48.00,9,-1,9.00,0.0227,0.0453,1.5844,1.4855,3
34,44.00,8,-1,8.00,0.0227,0.0437,1.5844,1.4855,3
35,46.00,7,-1,7.00,0.0193,0.0398,1.5844,1.4855,3
36,44.00,6,-1,6.00,0.0176,0.0343,1.5844,1.4855,3
37,44.00,5,-1,5.00,0.0170,0.0335,1.5844,1.4855,2
38,46.00,4,-1,4.00,0.0153,0.0319,1.5844,1.4855,2
39,50.00,3,-1,3.00,0.0108,0.0247,1.5844,1.4855,2
40,50.00,3,-1,3.00,0.0102,0.0248,1.5844,1.4855,1
41,50.00,3,-1,3.00,0.0102,0.0248,1.5844,1.4855,0
