step,aggregation,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps
0,0.00,42,-1,42.00,0.1995,0.1276,1.5844,1.5710,0
1,12.00,41,-1,41.00,0.2002,0.1275,1.5844,1.5710,44
2,20.00,40,-1,40.00,0.1961,0.1230,1.5844,1.5219,37
3,24.00,39,-1,39.00,0.1893,0.1209,1.5844,1.5710,35
4,32.00,38,-1,38.00,0.1808,0.1212,1.5844,1.5710,35
5,32.00,37,-1,37.00,0.1740,0.1167,1.5844,1.4855,31
6,34.00,36,-1,36.00,0.1658,0.1118,1.5844,1.4855,30
7,38.00,35,-1,35.00,0.1612,0.1080,1.5844,1.3610,29
8,42.00,34,-1,34.00,0.1511,0.1123,1.5844,1.3610,28
9,44.00,33,-1,33.00,0.1416,0.1070,1.5844,1.3610,25
10,38.00,32,-1,32.00,0.1309,0.1053,1.5844,1.3610,22
11,50.00,31,-1,31.00,0.1193,0.1040,1.5844,1.3610,22
12,40.00,30,-1,30.00,0.1061,0.1074,1.5844,1.3610,21
13,50.00,29,-1,29.00,0.0983,0.1047,1.5844,1.3610,18
14,62.00,28,-1,28.00,0.0935,0.0978,1.5844,1.3610,17
15,46.00,27,-1,27.00,0.0878,0.0964,1.5844,1.3610,17
16,54.00,26,-1,26.00,0.0824,0.0945,1.5844,1.3610,16
17,50.00,25,-1,25.00,0.0743,0.0897,1.5844,1.3610,15
18,50.00,24,-1,24.00,0.0658,0.0848,1.5844,1.5219,14
19,48.00,23,-1,23.00,0.0567,0.0815,1.5844,1.5219,13
20,48.00,22,-1,22.00,0.0561,0.0775,1.5844,1.5219,9
21,52.00,21,-1,21.00,0.0542,0.0762,1.5844,1.5219,9
22,42.00,20,-1,20.00,0.0542,0.0742,1.5844,1.5219,9
23,42.00,19,-1,19.00,0.0528,0.0731,1.5844,1.5219,9
24,44.00,18,-1,18.00,0.0463,0.0705,1.5844,1.5219,9
25,46.00,17,-1,17.00,0.0404,0.0665,1.5844,1.5219,8
26,38.00,16,-1,16.00,0.0349,0.0647,1.5844,1.5219,6
27,46.00,15,-1,15.00,0.0349,0.0580,1.5844,1.5219,5
28,48.00,14,-1,14.00,0.0295,0.0539,1.5844,1.5219,5
29,54.00,13,-1,13.00,0.0278,0.0479,1.5844,1.4855,5
30,48.00,12,-1,12.00,0.0244,0.0423,1.5844,1.4855,5
31,56.00,11,-1,11.00,0.0221,0.0395,1.5844,1.4855,5
32,52.00,10,-1,10.00,0.0221,0.0387,1.5844,1.4855,3
33,54.00,9,-1,9.00,0.0204,0.0384,1.5844,1.5710,3
34,54.00,8,-1,8.00,0.0198,0.0375,1.5844,1.5710,3
35,48.00,7,-1,7.00,0.0153,0.0316,1.5844,1.5710,3
36,56.00,6,-1,6.00,0.0153,0.0316,1.5844,1.5710,2
37,54.00,5,-1,5.00,0.0147,0.0317,1.5844,1.5710,2
38,54.00,4,-1,4.00,0.0102,0.0248,1.5844,1.5710,1
39,54.00,4,-1,4.00,0.0102,0.0248,1.5844,1.5710,0
