step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,12.00,52.00,0.0000,-1,48,48.00,0.2132,0.1483,1.5809,1.5710,0,0,false
1,34.00,74.00,0.0000,-1,47,47.00,0.1669,0.1561,1.5809,1.4855,40,0,false
2,56.00,72.00,0.0000,-1,46,46.00,0.1486,0.1464,1.5809,0.9710,43,0,false
3,62.00,70.00,0.0000,-1,44,44.00,0.1464,0.1516,1.5809,0.9710,37,0,false
4,60.00,66.00,0.0000,-1,43,43.00,0.1465,0.1460,1.5809,0.9710,31,0,false
5,58.00,76.00,0.0000,-1,42,42.00,0.1436,0.1443,1.5809,1.0000,32,0,false
6,70.00,80.00,0.0000,-1,41,41.00,0.1221,0.1433,1.5809,1.0000,32,0,false
7,76.00,84.00,0.0000,-1,40,40.00,0.1148,0.1384,1.5809,1.0000,29,0,false
8,76.00,84.00,0.0000,-1,39,39.00,0.1078,0.1359,1.5809,1.0000,25,0,false
9,80.00,84.00,0.0000,-1,38,38.00,0.1030,0.1310,1.5809,1.0000,25,0,false
10,80.00,84.00,0.0000,-1,37,37.00,0.1143,0.1422,1.5809,1.0000,23,0,false
11,76.00,82.00,0.0000,-1,36,36.00,0.1199,0.1434,1.5809,1.0000,25,0,false
12,76.00,84.00,0.0000,-1,35,35.00,0.1103,0.1406,1.5809,1.0000,24,0,false
13,84.00,86.00,0.0000,-1,33,33.00,0.1001,0.1390,1.5809,1.0000,21,0,false
14,82.00,88.00,0.0000,-1,29,29.00,0.0870,0.1320,1.5809,1.0000,20,0,false
15,88.00,90.00,0.0000,-1,28,28.00,0.0796,0.1277,1.5809,1.0000,19,0,false
16,84.00,90.00,0.0000,-1,27,27.00,0.0735,0.1233,1.5809,1.0000,18,0,false
17,94.00,90.00,0.0000,-1,26,26.00,0.0690,0.1200,1.5809,1.0000,17,0,false
18,82.00,90.00,0.0000,-1,25,25.00,0.0661,0.1155,1.5809,1.0000,16,0,false
19,82.00,90.00,0.0000,-1,24,24.00,0.0636,0.1116,1.5809,1.0000,15,0,false
20,78.00,90.00,0.0000,-1,23,23.00,0.0585,0.1037,1.5809,1.0000,15,0,false
21,72.00,90.00,0.0000,-1,22,22.00,0.0538,0.0941,1.5809,1.0000,15,0,false
22,80.00,92.00,0.0000,-1,21,21.00,0.0487,0.0867,1.5809,1.0000,15,0,false
23,80.00,92.00,0.0000,-1,20,20.00,0.0426,0.0756,1.5809,1.0000,14,0,false
24,84.00,94.00,0.0000,-1,19,19.00,0.0394,0.0690,1.5809,0.9710,15,0,false
25,78.00,98.00,0.0000,-1,18,18.00,0.0321,0.0609,1.5809,0.9710,14,0,false
26,82.00,98.00,0.0000,-1,17,17.00,0.0232,0.0521,1.5809,0.9710,10,0,false
27,82.00,98.00,0.0000,-1,15,15.00,0.0222,0.0452,1.5809,0.9710,5,0,false
28,82.00,98.00,0.0000,-1,14,14.00,0.0187,0.0411,1.5809,0.9710,6,0,false
29,90.00,98.00,0.0000,-1,13,13.00,0.0172,0.0396,1.5809,0.9710,5,0,false
30,90.00,98.00,0.0000,-1,12,12.00,0.0156,0.0349,1.5809,0.9710,1,0,false
31,88.00,98.00,0.0000,-1,10,10.00,0.0156,0.0314,1.5809,0.9710,1,0,false
32,88.00,98.00,0.0000,-1,8,8.00,0.0153,0.0309,1.5809,0.9710,1,0,false
33,82.00,98.00,0.0000,-1,7,7.00,0.0148,0.0293,1.5809,0.9710,1,0,false
34,88.00,100.00,0.0000,-1,6,6.00,0.0121,0.0229,1.5809,0.9710,1,0,false
35,88.00,100.00,0.0000,-1,5,5.00,0.0119,0.0190,1.5809,0.9710,1,0,false
36,88.00,100.00,0.0000,-1,4,4.00,0.0119,0.0188,1.5809,0.9710,1,0,false
37,84.00,100.00,0.0000,-1,3,3.00,0.0111,0.0181,1.5809,0.9710,1,0,false
38,84.00,100.00,0.0000,-1,1,1.00,0.0107,0.0172,1.5809,0.9710,1,0,false
39,86.00,100.00,0.0000,-1,0,0.00,0.0102,0.0168,1.5809,0.9710,1,0,false
40,86.00,100.00,0.0000,-1,0,0.00,0.0102,0.0168,1.5809,0.9710,0,1,false
41,86.00,100.00,0.0000,-1,0,0.00,0.0102,0.0168,1.5809,0.9710,0,2,false
42,86.00,100.00,0.0000,-1,0,0.00,0.0102,0.0168,1.5809,0.9710,0,3,false
