step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,0.00,46.00,0.6939,33,48,40.50,0.2698,0.1644,1.5844,1.5710,0,0,false
1,12.00,50.00,0.6939,32,47,39.50,0.2663,0.1706,1.5844,1.5710,42,0,false
2,24.00,52.00,0.6939,31,46,38.50,0.2554,0.1740,1.5844,1.5219,37,0,false
3,26.00,50.00,0.6939,30,45,37.50,0.2497,0.1720,1.5844,1.3610,37,0,false
4,38.00,52.00,0.6939,29,44,36.50,0.2388,0.1725,1.5844,0.9710,34,0,false
5,36.00,58.00,0.6939,28,43,35.50,0.2227,0.1737,1.5844,0.9710,33,0,false
6,44.00,66.00,0.6939,27,42,34.50,0.2056,0.1790,1.5844,0.8813,30,0,false
7,54.00,66.00,0.6939,26,41,33.50,0.1971,0.1764,1.5844,0.8813,24,0,false
8,58.00,72.00,0.6939,25,40,32.50,0.1810,0.1781,1.5844,0.8813,24,0,false
9,60.00,70.00,0.6939,24,39,31.50,0.1709,0.1709,1.5844,0.8813,24,0,false
10,58.00,70.00,0.6939,23,38,30.50,0.1597,0.1664,1.5844,0.9710,21,0,false
11,58.00,74.00,0.6939,22,37,29.50,0.1472,0.1648,1.5844,0.9710,21,0,false
12,60.00,76.00,0.6939,21,36,28.50,0.1373,0.1617,1.5844,0.9710,19,0,false
13,54.00,80.00,0.6939,20,35,27.50,0.1288,0.1588,1.5844,1.0000,18,0,false
14,62.00,84.00,0.6939,19,34,26.50,0.1153,0.1569,1.5844,1.0000,16,0,false
15,56.00,82.00,0.6939,18,33,25.50,0.1123,0.1532,1.5844,1.0000,13,0,false
16,58.00,84.00,0.6939,17,32,24.50,0.1047,0.1535,1.5844,0.9710,13,0,false
17,62.00,84.00,0.6939,16,31,23.50,0.0974,0.1487,1.5844,1.0000,12,0,false
18,64.00,84.00,0.6939,15,30,22.50,0.0904,0.1412,1.5844,1.0000,11,0,false
19,70.00,86.00,0.6735,13,29,21.00,0.0845,0.1338,1.5844,1.0000,11,0,false
20,66.00,86.00,0.6735,12,28,20.00,0.0770,0.1276,1.5844,1.0000,10,0,false
21,72.00,88.00,0.6735,11,27,19.00,0.0653,0.1184,1.5844,1.0000,10,0,false
22,70.00,90.00,0.6735,10,26,18.00,0.0543,0.1044,1.5844,1.0000,10,0,false
23,70.00,92.00,0.6735,9,25,17.00,0.0490,0.0963,1.5844,0.9710,8,0,false
24,76.00,92.00,0.6735,8,24,16.00,0.0400,0.0831,1.5844,0.9710,8,0,false
25,72.00,96.00,0.6735,7,23,15.00,0.0363,0.0714,1.5844,0.9710,8,0,false
26,74.00,96.00,0.6939,6,21,13.50,0.0308,0.0623,1.5844,0.9710,5,0,false
27,76.00,96.00,0.6939,5,20,12.50,0.0287,0.0543,1.5844,0.9710,5,0,false
28,76.00,96.00,0.6939,4,19,11.50,0.0268,0.0513,1.5844,0.9710,4,0,false
29,70.00,96.00,0.6939,3,18,10.50,0.0240,0.0458,1.5844,0.9710,4,0,false
30,80.00,96.00,0.6939,2,17,9.50,0.0233,0.0419,1.5844,0.9710,4,0,false
31,76.00,96.00,0.6939,1,16,8.50,0.0220,0.0406,1.5844,0.9710,4,0,false
32,74.00,96.00,0.6939,0,15,7.50,0.0207,0.0385,1.5844,0.9710,3,0,false
33,76.00,98.00,0.7143,0,14,7.00,0.0197,0.0358,1.5844,0.9710,2,0,false
34,76.00,98.00,0.7347,0,13,6.50,0.0190,0.0331,1.5844,0.9710,2,0,false
35,70.00,98.00,0.7551,0,12,6.00,0.0181,0.0307,1.5844,0.9710,2,0,false
36,72.00,98.00,0.7755,0,11,5.50,0.0171,0.0280,1.5844,0.9710,2,0,false
37,68.00,98.00,0.7959,0,10,5.00,0.0169,0.0262,1.5844,0.9710,2,0,false
38,68.00,100.00,0.8163,0,9,4.50,0.0156,0.0249,1.5844,0.8813,2,0,false
39,72.00,100.00,0.8367,0,8,4.00,0.0141,0.0225,1.5844,0.8813,2,0,false
40,70.00,100.00,0.8571,0,7,3.50,0.0137,0.0212,1.5844,0.8813,2,0,false
41,76.00,100.00,0.8776,0,6,3.00,0.0126,0.0199,1.5844,0.8813,2,0,false
42,76.00,100.00,0.8980,0,5,2.50,0.0113,0.0178,1.5844,0.8813,2,0,false
43,76.00,100.00,0.9184,0,4,2.00,0.0111,0.0168,1.5844,0.8813,1,0,false
