step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,4.00,38.00,0.6939,33,48,40.50,0.2619,0.1557,1.5844,1.5710,0,0,false
1,8.00,46.00,0.6939,32,47,39.50,0.2465,0.1624,1.5844,1.5710,41,0,false
2,22.00,54.00,0.6939,31,46,38.50,0.2245,0.1682,1.5844,1.5219,41,0,false
3,24.00,58.00,0.6939,30,45,37.50,0.2097,0.1721,1.5844,1.3610,39,0,false
4,26.00,64.00,0.6939,29,44,36.50,0.1994,0.1781,1.5844,1.3610,38,0,false
5,28.00,66.00,0.6939,28,43,35.50,0.1936,0.1788,1.5844,1.0000,33,0,false
6,38.00,68.00,0.6939,27,42,34.50,0.1878,0.1757,1.5844,0.9710,32,0,false
7,34.00,68.00,0.6939,26,41,33.50,0.1856,0.1738,1.5844,0.9710,28,0,false
8,44.00,66.00,0.6939,25,40,32.50,0.1797,0.1699,1.5844,0.9710,26,0,false
9,52.00,74.00,0.6939,24,39,31.50,0.1656,0.1701,1.5844,0.9710,22,0,false
10,54.00,72.00,0.6939,23,38,30.50,0.1531,0.1657,1.5844,0.9710,22,0,false
11,68.00,74.00,0.7143,22,36,29.00,0.1457,0.1600,1.5844,0.9710,24,0,false
12,62.00,74.00,0.7143,21,35,28.00,0.1363,0.1574,1.5844,0.9710,24,0,false
13,58.00,78.00,0.7143,20,34,27.00,0.1230,0.1538,1.5844,0.9710,23,0,false
14,64.00,82.00,0.7143,19,33,26.00,0.1114,0.1486,1.5844,1.0000,21,0,false
15,62.00,82.00,0.7143,18,32,25.00,0.1024,0.1423,1.5844,1.0000,18,0,false
16,72.00,82.00,0.7143,17,31,24.00,0.0946,0.1349,1.5844,1.0000,17,0,false
17,78.00,84.00,0.7143,16,30,23.00,0.0881,0.1277,1.5844,1.0000,16,0,false
18,68.00,88.00,0.7143,15,29,22.00,0.0795,0.1192,1.5844,1.0000,16,0,false
19,80.00,88.00,0.7143,14,28,21.00,0.0697,0.1118,1.5844,1.0000,12,0,false
20,80.00,88.00,0.7143,13,27,20.00,0.0636,0.1020,1.5844,1.0000,10,0,false
21,70.00,88.00,0.7143,12,26,19.00,0.0571,0.0956,1.5844,1.0000,8,0,false
22,78.00,88.00,0.7347,11,24,17.50,0.0516,0.0875,1.5844,1.0000,7,0,false
23,76.00,88.00,0.7347,10,23,16.50,0.0470,0.0797,1.5844,1.0000,7,0,false
24,78.00,92.00,0.7347,9,22,15.50,0.0436,0.0738,1.5844,1.0000,6,0,false
25,68.00,92.00,0.7347,8,21,14.50,0.0398,0.0675,1.5844,1.0000,6,0,false
26,72.00,96.00,0.7347,7,20,13.50,0.0379,0.0618,1.5844,0.9710,6,0,false
27,72.00,98.00,0.7347,6,19,12.50,0.0328,0.0557,1.5844,0.9710,6,0,false
28,76.00,98.00,0.7347,5,18,11.50,0.0299,0.0480,1.5844,0.9710,6,0,false
29,70.00,98.00,0.7347,4,17,10.50,0.0264,0.0433,1.5844,0.9710,6,0,false
30,76.00,98.00,0.7347,3,16,9.50,0.0233,0.0360,1.5844,0.9710,6,0,false
31,76.00,98.00,0.7347,2,15,8.50,0.0205,0.0303,1.5844,0.9710,6,0,false
32,76.00,98.00,0.7347,1,14,7.50,0.0189,0.0283,1.5844,0.9710,5,0,false
33,68.00,98.00,0.7347,0,13,6.50,0.0156,0.0254,1.5844,0.9710,5,0,false
34,68.00,98.00,0.7551,0,12,6.00,0.0154,0.0220,1.5844,0.9710,3,0,false
35,78.00,100.00,0.7755,0,11,5.50,0.0139,0.0203,1.5844,0.9710,3,0,false
36,72.00,100.00,0.7959,0,10,5.00,0.0134,0.0184,1.5844,0.9710,3,0,false
37,72.00,100.00,0.8163,0,9,4.50,0.0128,0.0173,1.5844,0.9710,1,0,false
38,74.00,100.00,0.8367,0,8,4.00,0.0124,0.0157,1.5844,0.9710,1,0,false
39,74.00,100.00,0.8571,0,7,3.50,0.0123,0.0150,1.5844,0.9710,1,0,false
40,74.00,100.00,0.8776,0,6,3.00,0.0123,0.0148,1.5844,0.9710,1,0,false
41,74.00,100.00,0.8980,0,5,2.50,0.0122,0.0147,1.5844,0.9710,1,0,false
42,72.00,100.00,0.9184,0,4,2.00,0.0117,0.0140,1.5844,0.9710,1,0,false
