step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,0.00,42.00,0.6939,33,48,40.50,0.2625,0.1608,1.5844,1.5710,0,0,false
1,4.00,48.00,0.6939,32,47,39.50,0.2477,0.1637,1.5844,1.5710,42,0,false
2,14.00,50.00,0.6939,31,46,38.50,0.2397,0.1662,1.5844,1.5219,41,0,false
3,16.00,54.00,0.6939,30,45,37.50,0.2248,0.1714,1.5844,1.3610,39,0,false
4,18.00,60.00,0.6939,29,44,36.50,0.2146,0.1784,1.5844,1.3610,36,0,false
5,20.00,62.00,0.6939,28,43,35.50,0.2088,0.1796,1.5844,1.0000,31,0,false
6,30.00,64.00,0.6939,27,42,34.50,0.2029,0.1771,1.5844,0.9710,29,0,false
7,30.00,64.00,0.6939,26,41,33.50,0.1974,0.1745,1.5844,0.9710,28,0,false
8,40.00,62.00,0.6939,25,40,32.50,0.1936,0.1719,1.5844,0.9710,26,0,false
9,44.00,64.00,0.6939,24,39,31.50,0.1838,0.1706,1.5844,0.9710,24,0,false
10,46.00,64.00,0.6939,23,38,30.50,0.1713,0.1676,1.5844,0.9710,23,0,false
11,62.00,66.00,0.6939,22,37,29.50,0.1636,0.1629,1.5844,0.9710,23,0,false
12,56.00,66.00,0.6939,21,36,28.50,0.1541,0.1605,1.5844,0.9710,22,0,false
13,60.00,74.00,0.6939,20,35,27.50,0.1385,0.1599,1.5844,0.9710,22,0,false
14,66.00,78.00,0.6939,19,34,26.50,0.1263,0.1560,1.5844,1.0000,21,0,false
15,62.00,80.00,0.6939,18,33,25.50,0.1148,0.1516,1.5844,1.0000,16,0,false
16,76.00,84.00,0.6939,17,32,24.50,0.1061,0.1460,1.5844,1.0000,15,0,false
17,74.00,86.00,0.6939,16,31,23.50,0.0964,0.1395,1.5844,1.0000,14,0,false
18,76.00,88.00,0.6939,15,30,22.50,0.0866,0.1326,1.5844,1.0000,14,0,false
19,76.00,88.00,0.6939,14,29,21.50,0.0779,0.1231,1.5844,1.0000,14,0,false
20,68.00,92.00,0.6939,13,28,20.50,0.0707,0.1150,1.5844,1.0000,12,0,false
21,68.00,92.00,0.6939,12,27,19.50,0.0633,0.1075,1.5844,1.0000,9,0,false
22,72.00,92.00,0.6939,11,26,18.50,0.0587,0.0985,1.5844,1.0000,8,0,false
23,74.00,92.00,0.6939,10,25,17.50,0.0555,0.0931,1.5844,1.0000,7,0,false
24,76.00,92.00,0.6939,9,24,16.50,0.0512,0.0868,1.5844,1.0000,7,0,false
25,66.00,92.00,0.6939,8,23,15.50,0.0466,0.0797,1.5844,1.0000,7,0,false
26,72.00,92.00,0.6939,7,22,14.50,0.0452,0.0741,1.5844,1.0000,6,0,false
27,70.00,96.00,0.6939,6,21,13.50,0.0396,0.0686,1.5844,0.9710,6,0,false
28,74.00,98.00,0.6939,5,20,12.50,0.0371,0.0613,1.5844,0.9710,6,0,false
29,68.00,98.00,0.6939,4,19,11.50,0.0320,0.0549,1.5844,0.9710,6,0,false
30,74.00,98.00,0.6939,3,18,10.50,0.0300,0.0473,1.5844,0.9710,6,0,false
31,70.00,98.00,0.6939,2,17,9.50,0.0257,0.0428,1.5844,0.9710,6,0,false
32,80.00,98.00,0.6939,1,16,8.50,0.0226,0.0353,1.5844,0.9710,6,0,false
33,74.00,98.00,0.6939,0,15,7.50,0.0195,0.0301,1.5844,0.9710,6,0,false
34,72.00,98.00,0.7143,0,14,7.00,0.0184,0.0281,1.5844,0.9710,5,0,false
35,66.00,98.00,0.7347,0,13,6.50,0.0156,0.0254,1.5844,0.9710,4,0,false
36,66.00,98.00,0.7551,0,12,6.00,0.0154,0.0220,1.5844,0.9710,3,0,false
37,76.00,100.00,0.7755,0,11,5.50,0.0139,0.0203,1.5844,0.9710,3,0,false
38,70.00,100.00,0.7959,0,10,5.00,0.0134,0.0184,1.5844,0.9710,3,0,false
39,70.00,100.00,0.8163,0,9,4.50,0.0128,0.0173,1.5844,0.9710,1,0,false
40,72.00,100.00,0.8367,0,8,4.00,0.0124,0.0157,1.5844,0.9710,1,0,false
41,72.00,100.00,0.8571,0,7,3.50,0.0123,0.0150,1.5844,0.9710,1,0,false
42,72.00,100.00,0.8776,0,6,3.00,0.0123,0.0148,1.5844,0.9710,1,0,false
43,72.00,100.00,0.8980,0,5,2.50,0.0122,0.0147,1.5844,0.9710,1,0,false
44,70.00,100.00,0.9184,0,4,2.00,0.0117,0.0140,1.5844,0.9710,1,0,false
