step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,20.00,56.00,0.2449,11,48,29.50,0.2141,0.1607,1.5738,1.4855,0,0,false
1,48.00,70.00,0.2449,10,47,28.50,0.1907,0.1682,1.5738,1.4855,36,0,false
2,52.00,62.00,0.2041,7,46,26.50,0.2011,0.1725,1.5738,1.1568,37,0,false
3,58.00,66.00,0.2041,6,45,25.50,0.1902,0.1731,1.5738,1.1568,33,0,false
4,64.00,72.00,0.2041,5,44,24.50,0.1668,0.1638,1.5738,0.7219,29,0,false
5,70.00,70.00,0.2041,4,43,23.50,0.1578,0.1625,1.5738,0.7219,25,0,false
6,70.00,72.00,0.2245,3,41,22.00,0.1503,0.1589,1.5738,0.8813,24,0,false
7,84.00,84.00,0.2245,2,40,21.00,0.1259,0.1531,1.5738,0.7219,23,0,false
8,76.00,86.00,0.2041,0,39,19.50,0.1206,0.1534,1.5738,0.8813,26,0,false
9,74.00,86.00,0.3265,0,33,16.50,0.1019,0.1440,1.5738,0.8813,18,0,false
10,86.00,86.00,0.3469,0,32,16.00,0.0984,0.1436,1.5738,0.8813,18,0,false
11,70.00,92.00,0.3878,0,30,15.00,0.0813,0.1315,1.5738,0.8813,15,0,false
12,82.00,92.00,0.4082,0,29,14.50,0.0751,0.1306,1.5738,0.8813,18,0,false
13,82.00,90.00,0.4490,0,27,13.50,0.0753,0.1290,1.5738,0.8813,18,0,false
14,78.00,90.00,0.4694,0,26,13.00,0.0735,0.1273,1.5738,0.8813,17,0,false
15,78.00,90.00,0.4898,0,25,12.50,0.0708,0.1231,1.5738,0.8813,16,0,false
16,80.00,90.00,0.5102,0,24,12.00,0.0684,0.1173,1.5738,0.8813,16,0,false
17,88.00,90.00,0.5306,0,23,11.50,0.0659,0.1115,1.5738,0.8813,16,0,false
18,84.00,90.00,0.5510,0,22,11.00,0.0635,0.1057,1.5738,0.8813,15,0,false
19,90.00,90.00,0.5714,0,21,10.50,0.0599,0.0989,1.5738,0.8813,15,0,false
20,86.00,90.00,0.5918,0,20,10.00,0.0541,0.0877,1.5738,0.8813,15,0,false
21,88.00,90.00,0.6122,0,19,9.50,0.0500,0.0767,1.5738,0.7219,15,0,false
22,84.00,90.00,0.6327,0,18,9.00,0.0465,0.0669,1.5738,0.7219,15,0,false
23,84.00,92.00,0.6531,0,17,8.50,0.0450,0.0618,1.5738,0.7219,14,0,false
24,78.00,94.00,0.6735,0,16,8.00,0.0418,0.0584,1.5738,0.7219,14,0,false
25,80.00,94.00,0.6939,0,15,7.50,0.0367,0.0543,1.5738,0.7219,14,0,false
26,74.00,96.00,0.7143,0,14,7.00,0.0314,0.0466,1.5738,0.4690,13,0,false
27,74.00,96.00,0.7347,0,13,6.50,0.0276,0.0401,1.5738,0.4690,14,0,false
28,74.00,98.00,0.7551,0,12,6.00,0.0262,0.0381,1.5738,0.4690,10,0,false
29,78.00,98.00,0.7755,0,11,5.50,0.0243,0.0340,1.5738,0.4690,9,0,false
30,78.00,98.00,0.7959,0,10,5.00,0.0211,0.0312,1.5738,0.4690,7,0,false
31,78.00,98.00,0.8163,0,9,4.50,0.0203,0.0304,1.5738,0.4690,7,0,false
32,78.00,100.00,0.8367,0,8,4.00,0.0169,0.0265,1.5738,0.4690,8,0,false
33,78.00,100.00,0.8776,0,6,3.00,0.0165,0.0241,1.5738,0.4690,5,0,false
34,78.00,100.00,0.8980,0,5,2.50,0.0156,0.0231,1.5738,0.4690,5,0,false
35,78.00,100.00,0.9388,0,3,1.50,0.0149,0.0223,1.5738,0.4690,5,0,false
