step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,30.00,56.00,0.6939,33,48,40.50,0.2039,0.1545,1.5710,1.4855,0,0,false
1,64.00,80.00,0.6531,32,49,40.50,0.1551,0.1674,1.5710,1.5710,36,0,false
2,66.00,80.00,0.8163,31,40,35.50,0.1465,0.1614,1.5710,1.5710,37,0,false
3,66.00,74.00,0.8367,30,38,34.00,0.1612,0.1714,1.5710,1.5219,25,0,false
4,70.00,80.00,0.8571,29,36,32.50,0.1396,0.1700,1.5710,1.3610,28,0,false
5,68.00,76.00,0.8776,28,34,31.00,0.1624,0.1825,1.5710,1.3610,22,0,false
6,66.00,78.00,0.9184,27,31,29.00,0.1556,0.1696,1.5710,1.3610,24,0,false
7,56.00,74.00,0.8980,25,30,27.50,0.1854,0.1863,1.5710,1.3610,34,0,false
8,62.00,78.00,0.8980,23,28,25.50,0.1745,0.1820,1.5710,1.3610,33,0,false
9,60.00,80.00,0.8980,22,27,24.50,0.1544,0.1740,1.5710,1.3610,33,0,false
10,66.00,82.00,0.8980,21,26,23.50,0.1313,0.1643,1.5710,1.2955,27,0,false
11,64.00,70.00,0.8776,20,26,23.00,0.1774,0.1805,1.5710,0.9710,23,0,false
12,62.00,68.00,0.8571,19,26,22.50,0.1669,0.1701,1.5710,0.9710,24,0,false
13,68.00,78.00,0.7551,17,29,23.00,0.1552,0.1741,1.5710,1.0000,22,0,false
14,70.00,84.00,0.8367,16,24,20.00,0.1436,0.1715,1.5710,1.0000,30,0,false
15,74.00,76.00,0.8163,14,23,18.50,0.1337,0.1565,1.5710,1.0000,32,0,false
16,78.00,76.00,0.8163,13,22,17.50,0.1321,0.1585,1.5710,0.9710,23,0,false
17,86.00,74.00,0.8163,12,21,16.50,0.1369,0.1643,1.5710,0.9710,24,0,false
18,74.00,90.00,0.8367,11,19,15.00,0.1216,0.1602,1.5710,0.9710,22,0,false
19,72.00,92.00,0.8367,10,18,14.00,0.1091,0.1586,1.5710,0.9710,24,0,false
20,74.00,92.00,0.8571,9,16,12.50,0.1220,0.1684,1.5710,1.0000,23,0,false
21,78.00,84.00,0.8571,8,15,11.50,0.1300,0.1622,1.5710,1.0000,26,0,false
22,78.00,94.00,0.8571,7,14,10.50,0.0836,0.1341,1.5710,1.0000,21,0,false
23,78.00,90.00,0.8571,6,13,9.50,0.0794,0.1151,1.5710,1.0000,27,0,false
24,80.00,94.00,0.8367,4,12,8.00,0.0789,0.1207,1.5710,1.0000,24,0,false
25,78.00,90.00,0.8367,3,11,7.00,0.0785,0.1148,1.5710,1.0000,22,0,false
26,84.00,92.00,0.8163,1,10,5.50,0.0698,0.0996,1.5710,0.9710,23,0,false
27,76.00,90.00,0.8163,0,9,4.50,0.0749,0.1098,1.5710,0.9710,23,0,false
28,78.00,96.00,0.8367,0,8,4.00,0.0551,0.0862,1.5710,0.9710,24,0,false
29,80.00,98.00,0.8571,0,7,3.50,0.0497,0.0746,1.5710,1.0000,23,0,false
30,74.00,98.00,0.8980,0,5,2.50,0.0431,0.0681,1.5710,1.0000,22,0,false
31,74.00,100.00,0.9184,0,4,2.00,0.0388,0.0638,1.5710,1.0000,24,0,false
