step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,8.00,52.00,0.0000,-1,48,48.00,0.2263,0.1561,1.5809,1.4855,0,0,false
1,20.00,62.00,0.0000,-1,47,47.00,0.1841,0.1531,1.5809,1.3710,39,0,false
2,24.00,64.00,0.0000,-1,46,46.00,0.1767,0.1557,1.5809,1.2955,40,0,false
3,32.00,68.00,0.0000,-1,45,45.00,0.1648,0.1557,1.5809,0.8813,36,0,false
4,34.00,66.00,0.0000,-1,44,44.00,0.1577,0.1532,1.5809,0.8813,28,0,false
5,30.00,70.00,0.0000,-1,43,43.00,0.1521,0.1541,1.5809,0.9710,27,0,false
6,34.00,74.00,0.0000,-1,42,42.00,0.1479,0.1564,1.5809,0.9710,27,0,false
7,42.00,74.00,0.0000,-1,41,41.00,0.1436,0.1581,1.5809,0.9710,26,0,false
8,40.00,74.00,0.0000,-1,40,40.00,0.1414,0.1575,1.5809,0.9710,19,0,false
9,52.00,74.00,0.0000,-1,39,39.00,0.1362,0.1557,1.5809,0.9710,19,0,false
10,56.00,72.00,0.0000,-1,38,38.00,0.1307,0.1551,1.5809,0.9710,18,0,false
11,60.00,70.00,0.0000,-1,37,37.00,0.1276,0.1509,1.5809,0.9710,17,0,false
12,56.00,74.00,0.0000,-1,35,35.00,0.1176,0.1511,1.5809,0.8813,17,0,false
13,62.00,76.00,0.0000,-1,34,34.00,0.1121,0.1468,1.5809,0.8813,16,0,false
14,68.00,82.00,0.0000,-1,33,33.00,0.1030,0.1436,1.5809,0.8813,15,0,false
15,76.00,84.00,0.0000,-1,32,32.00,0.0944,0.1411,1.5809,0.7219,15,0,false
16,76.00,84.00,0.0000,-1,31,31.00,0.0900,0.1381,1.5809,0.7219,12,0,false
17,80.00,84.00,0.0000,-1,30,30.00,0.0838,0.1351,1.5809,0.7219,11,0,false
18,80.00,84.00,0.0000,-1,29,29.00,0.0808,0.1317,1.5809,0.7219,10,0,false
19,72.00,86.00,0.0000,-1,28,28.00,0.0770,0.1304,1.5809,0.7219,9,0,false
20,84.00,88.00,0.0000,-1,27,27.00,0.0716,0.1265,1.5809,0.7219,6,0,false
21,80.00,88.00,0.0000,-1,26,26.00,0.0645,0.1178,1.5809,0.7219,6,0,false
22,82.00,88.00,0.0000,-1,25,25.00,0.0631,0.1104,1.5809,0.7219,6,0,false
23,70.00,88.00,0.0000,-1,24,24.00,0.0600,0.1078,1.5809,0.8813,6,0,false
24,70.00,92.00,0.0000,-1,23,23.00,0.0520,0.1034,1.5809,0.8813,6,0,false
25,78.00,94.00,0.0000,-1,22,22.00,0.0495,0.0973,1.5809,0.8813,5,0,false
26,82.00,94.00,0.0000,-1,21,21.00,0.0429,0.0914,1.5809,0.8813,5,0,false
27,76.00,94.00,0.0000,-1,20,20.00,0.0396,0.0844,1.5809,0.8813,4,0,false
28,78.00,96.00,0.0000,-1,19,19.00,0.0365,0.0803,1.5809,0.8813,4,0,false
29,76.00,96.00,0.0000,-1,18,18.00,0.0352,0.0771,1.5809,0.8813,4,0,false
30,70.00,98.00,0.0000,-1,17,17.00,0.0300,0.0706,1.5809,0.8813,3,0,false
31,76.00,98.00,0.0000,-1,16,16.00,0.0256,0.0622,1.5809,0.9710,3,0,false
32,76.00,98.00,0.0000,-1,15,15.00,0.0226,0.0542,1.5809,0.9710,2,0,false
33,76.00,98.00,0.0000,-1,14,14.00,0.0216,0.0463,1.5809,0.9710,2,0,false
34,76.00,98.00,0.0000,-1,13,13.00,0.0187,0.0431,1.5809,0.9710,2,0,false
35,76.00,98.00,0.0000,-1,12,12.00,0.0183,0.0422,1.5809,0.9710,1,0,false
36,76.00,98.00,0.0000,-1,11,11.00,0.0155,0.0351,1.5809,0.9710,1,0,false
37,76.00,98.00,0.0000,-1,10,10.00,0.0150,0.0286,1.5809,0.9710,1,0,false
38,76.00,98.00,0.0000,-1,9,9.00,0.0150,0.0277,1.5809,0.8813,1,0,false
39,76.00,98.00,0.0000,-1,8,8.00,0.0150,0.0277,1.5809,0.8813,1,0,false
40,76.00,100.00,0.0000,-1,6,6.00,0.0141,0.0261,1.5809,0.8813,1,0,false
41,76.00,100.00,0.0000,-1,5,5.00,0.0139,0.0240,1.5809,0.8813,1,0,false
42,76.00,100.00,0.0000,-1,4,4.00,0.0134,0.0230,1.5809,0.8813,1,0,false
43,76.00,100.00,0.0000,-1,3,3.00,0.0127,0.0213,1.5809,0.8813,1,0,false
44,78.00,100.00,0.0000,-1,2,2.00,0.0123,0.0198,1.5809,0.8813,1,0,false
45,78.00,100.00,0.0000,-1,1,1.00,0.0103,0.0177,1.5809,0.8813,1,0,false
46,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,1,0,false
47,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,1,false
48,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,2,false
49,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,3,false
50,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,4,false
51,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,5,false
52,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,6,false
53,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,7,false
54,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,8,false
55,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,9,false
56,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,10,false
57,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,11,false
58,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,12,false
59,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,13,false
60,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,14,false
61,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,15,false
62,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,16,false
63,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,17,false
64,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,18,false
65,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,19,false
66,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,20,false
67,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,21,false
68,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,22,false
69,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,23,false
70,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,24,false
71,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,25,false
72,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,26,false
73,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,27,false
74,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,28,false
75,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,29,false
76,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,30,false
77,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,31,false
78,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,32,false
79,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,33,false
80,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,34,false
81,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,35,false
82,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,36,false
83,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,37,false
84,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,38,false
85,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,39,false
86,74.00,100.00,0.0000,-1,0,0.00,0.0102,0.0175,1.5809,0.8813,0,40,false
