step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,8.00,44.00,0.6939,33,48,40.50,0.2251,0.1383,1.5809,1.5710,0,0,false
1,20.00,44.00,0.6939,32,47,39.50,0.2229,0.1410,1.5809,1.5219,44,0,false
2,26.00,42.00,0.6939,31,46,38.50,0.2152,0.1400,1.5809,1.3610,42,0,false
3,28.00,48.00,0.6939,30,45,37.50,0.2084,0.1404,1.5809,1.0000,41,0,false
4,38.00,52.00,0.6939,29,44,36.50,0.1928,0.1419,1.5809,1.0000,39,0,false
5,34.00,50.00,0.6939,28,43,35.50,0.1858,0.1395,1.5809,0.9710,33,0,false
6,52.00,52.00,0.6939,27,42,34.50,0.1734,0.1378,1.5809,0.9710,31,0,false
7,48.00,58.00,0.6939,26,41,33.50,0.1626,0.1360,1.5809,0.9710,28,0,false
8,46.00,58.00,0.6939,25,40,32.50,0.1518,0.1332,1.5809,1.0000,26,0,false
9,52.00,62.00,0.6939,24,39,31.50,0.1402,0.1294,1.5809,1.0000,26,0,false
10,62.00,72.00,0.6939,23,38,30.50,0.1248,0.1288,1.5809,1.0000,26,0,false
11,64.00,72.00,0.6939,22,37,29.50,0.1197,0.1296,1.5809,1.0000,26,0,false
12,62.00,82.00,0.6735,20,36,28.00,0.1063,0.1280,1.5809,1.0000,23,0,false
13,70.00,82.00,0.6735,19,35,27.00,0.0994,0.1243,1.5809,1.0000,22,0,false
14,76.00,88.00,0.6735,18,34,26.00,0.0865,0.1198,1.5809,1.0000,21,0,false
15,82.00,90.00,0.6735,17,33,25.00,0.0789,0.1131,1.5809,1.0000,20,0,false
16,84.00,94.00,0.6735,16,32,24.00,0.0704,0.1060,1.5809,1.0000,19,0,false
17,84.00,94.00,0.6939,15,30,22.50,0.0517,0.0882,1.5809,1.0000,13,0,false
18,84.00,94.00,0.6939,14,29,21.50,0.0481,0.0807,1.5809,0.9710,15,0,false
19,78.00,94.00,0.6939,13,28,20.50,0.0452,0.0749,1.5809,0.8813,14,0,false
20,86.00,94.00,0.6939,12,27,19.50,0.0411,0.0711,1.5809,0.8813,12,0,false
21,84.00,96.00,0.6939,11,26,18.50,0.0394,0.0688,1.5809,0.8813,12,0,false
22,84.00,96.00,0.6939,10,25,17.50,0.0372,0.0667,1.5809,0.8813,10,0,false
23,84.00,96.00,0.6939,9,24,16.50,0.0323,0.0618,1.5809,0.8813,10,0,false
24,82.00,96.00,0.6939,8,23,15.50,0.0306,0.0584,1.5809,0.8813,10,0,false
25,86.00,96.00,0.6939,7,22,14.50,0.0285,0.0562,1.5809,0.8813,10,0,false
26,84.00,98.00,0.6939,6,21,13.50,0.0252,0.0513,1.5809,0.8813,7,0,false
27,86.00,98.00,0.6939,5,20,12.50,0.0239,0.0460,1.5809,0.8813,7,0,false
28,84.00,98.00,0.6939,4,19,11.50,0.0228,0.0424,1.5809,0.8813,6,0,false
29,78.00,98.00,0.6735,2,18,10.00,0.0220,0.0393,1.5809,0.8813,6,0,false
30,82.00,98.00,0.6735,1,17,9.00,0.0203,0.0375,1.5809,0.8813,6,0,false
31,80.00,98.00,0.6735,0,16,8.00,0.0196,0.0365,1.5809,0.8813,6,0,false
32,80.00,98.00,0.6939,0,15,7.50,0.0196,0.0359,1.5809,0.8813,5,0,false
33,78.00,98.00,0.7143,0,14,7.00,0.0193,0.0356,1.5809,0.8813,5,0,false
34,82.00,98.00,0.7347,0,13,6.50,0.0174,0.0329,1.5809,0.8813,5,0,false
35,80.00,98.00,0.7551,0,12,6.00,0.0170,0.0283,1.5809,0.8813,5,0,false
36,80.00,98.00,0.7755,0,11,5.50,0.0168,0.0273,1.5809,0.9710,5,0,false
37,86.00,98.00,0.7959,0,10,5.00,0.0153,0.0264,1.5809,0.9710,5,0,false
38,86.00,100.00,0.8367,0,8,4.00,0.0141,0.0233,1.5809,0.9710,1,0,false
39,80.00,100.00,0.8571,0,7,3.50,0.0135,0.0196,1.5809,0.9710,1,0,false
40,88.00,100.00,0.8776,0,6,3.00,0.0133,0.0180,1.5809,0.9710,1,0,false
41,88.00,100.00,0.8980,0,5,2.50,0.0130,0.0170,1.5809,0.9710,1,0,false
42,84.00,100.00,0.9388,0,3,1.50,0.0127,0.0161,1.5809,0.9710,1,0,false
