step,strategy_agg,fitness_clust,factor_local,factor_11_pos,factor_13_pos,mean_factor_dist,fitness_grad_mean,fitness_grad_std,entropy_global,entropy_front,swaps,consec_zero_swaps,stagnant
0,22.00,34.00,0.0000,33,-1,33.00,0.2368,0.1386,1.5809,1.4855,0,0,false
1,58.00,52.00,0.0000,32,-1,32.00,0.2140,0.1613,1.5809,1.3710,41,0,false
2,68.00,62.00,0.0000,31,-1,31.00,0.1971,0.1650,1.5809,1.2955,38,0,false
3,70.00,64.00,0.0000,30,-1,30.00,0.1915,0.1650,1.5809,0.8813,36,0,false
4,62.00,56.00,0.0000,29,-1,29.00,0.1905,0.1617,1.5809,0.7219,33,0,false
5,64.00,66.00,0.0000,28,-1,28.00,0.1807,0.1654,1.5809,0.7219,34,0,false
6,72.00,66.00,0.0000,27,-1,27.00,0.1745,0.1639,1.5809,0.4690,31,0,false
7,70.00,68.00,0.0000,26,-1,26.00,0.1692,0.1641,1.5809,0.4690,31,0,false
8,70.00,70.00,0.0000,25,-1,25.00,0.1553,0.1635,1.5809,0.4690,26,0,false
9,70.00,70.00,0.0000,24,-1,24.00,0.1464,0.1571,1.5809,0.4690,26,0,false
10,74.00,66.00,0.0000,23,-1,23.00,0.1426,0.1506,1.5809,0.4690,24,0,false
11,90.00,76.00,0.0000,22,-1,22.00,0.1323,0.1519,1.5809,0.4690,21,0,false
12,80.00,78.00,0.0000,21,-1,21.00,0.1182,0.1500,1.5809,0.4690,21,0,false
13,78.00,78.00,0.0000,20,-1,20.00,0.1105,0.1458,1.5809,0.4690,20,0,false
14,84.00,82.00,0.0000,19,-1,19.00,0.1037,0.1391,1.5809,0.7219,20,0,false
15,78.00,82.00,0.0000,18,-1,18.00,0.0971,0.1305,1.5809,0.7219,17,0,false
16,92.00,82.00,0.0000,17,-1,17.00,0.0870,0.1228,1.5809,0.7219,17,0,false
17,88.00,78.00,0.0000,16,-1,16.00,0.0818,0.1165,1.5809,0.7219,15,0,false
18,90.00,84.00,0.0000,15,-1,15.00,0.0723,0.1079,1.5809,0.7219,15,0,false
19,96.00,84.00,0.0000,14,-1,14.00,0.0644,0.1004,1.5809,0.7219,14,0,false
20,94.00,90.00,0.0000,13,-1,13.00,0.0593,0.0897,1.5809,0.7219,13,0,false
21,90.00,94.00,0.0000,12,-1,12.00,0.0536,0.0849,1.5809,0.7219,13,0,false
22,86.00,94.00,0.0000,11,-1,11.00,0.0513,0.0804,1.5809,0.7219,13,0,false
23,90.00,94.00,0.0000,10,-1,10.00,0.0453,0.0742,1.5809,0.7219,10,0,false
24,90.00,94.00,0.0000,8,-1,8.00,0.0407,0.0710,1.5809,0.7219,11,0,false
25,86.00,94.00,0.0000,6,-1,6.00,0.0358,0.0630,1.5809,0.8813,8,0,false
26,86.00,98.00,0.0000,5,-1,5.00,0.0313,0.0545,1.5809,0.8813,6,0,false
27,86.00,98.00,0.0000,4,-1,4.00,0.0289,0.0494,1.5809,0.8813,6,0,false
28,84.00,98.00,0.0000,3,-1,3.00,0.0244,0.0446,1.5809,0.8813,6,0,false
29,82.00,98.00,0.0000,1,-1,1.00,0.0222,0.0427,1.5809,0.8813,7,0,false
30,90.00,96.00,0.0000,0,-1,0.00,0.0210,0.0402,1.5809,0.8813,3,0,false
31,86.00,98.00,0.0000,0,-1,0.00,0.0201,0.0356,1.5809,0.8813,3,0,false
32,88.00,98.00,0.0000,0,-1,0.00,0.0175,0.0290,1.5809,0.9710,5,0,false
33,88.00,100.00,0.0000,0,-1,0.00,0.0141,0.0233,1.5809,1.0000,1,0,false
34,86.00,100.00,0.0000,0,-1,0.00,0.0107,0.0170,1.5809,0.9710,4,0,false
35,86.00,100.00,0.0000,0,-1,0.00,0.0104,0.0169,1.5809,0.9710,1,0,false
36,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,1,0,false
37,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,1,false
38,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,2,false
39,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,3,false
40,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,4,false
41,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,5,false
42,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,6,false
43,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,7,false
44,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,8,false
45,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,9,false
46,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,10,false
47,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,11,false
48,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,12,false
49,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,13,false
50,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,14,false
51,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,15,false
52,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,16,false
53,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,17,false
54,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,18,false
55,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,19,false
56,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,20,false
57,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,21,false
58,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,22,false
59,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,23,false
60,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,24,false
61,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,25,false
62,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,26,false
63,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,27,false
64,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,28,false
65,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,29,false
66,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,30,false
67,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,31,false
68,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,32,false
69,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,33,false
70,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,34,false
71,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,35,false
72,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,36,false
73,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,37,false
74,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,38,false
75,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,39,false
76,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,40,false
77,86.00,100.00,0.0000,0,-1,0.00,0.0102,0.0169,1.5809,0.9710,0,41,false
