step_number,aggregation_pct,sortedness_pct,monotonicity_pct,swap_count,array_size,algotype_mix,frozen_count,seed
0,100.0000,6.6667,46.6667,0,30,100%_Bubble,0,42
1,100.0000,6.6667,56.6667,10,30,100%_Bubble,0,42
2,100.0000,3.3333,56.6667,11,30,100%_Bubble,0,42
3,100.0000,6.6667,56.6667,6,30,100%_Bubble,0,42
4,100.0000,0.0000,60.0000,10,30,100%_Bubble,0,42
5,100.0000,0.0000,60.0000,7,30,100%_Bubble,0,42
6,100.0000,6.6667,56.6667,10,30,100%_Bubble,0,42
7,100.0000,6.6667,63.3333,9,30,100%_Bubble,0,42
8,100.0000,6.6667,56.6667,8,30,100%_Bubble,0,42
9,100.0000,10.0000,60.0000,8,30,100%_Bubble,0,42
10,100.0000,10.0000,63.3333,6,30,100%_Bubble,0,42
11,100.0000,6.6667,56.6667,9,30,100%_Bubble,0,42
12,100.0000,3.3333,66.6667,8,30,100%_Bubble,0,42
13,100.0000,6.6667,70.0000,6,30,100%_Bubble,0,42
14,100.0000,10.0000,73.3333,5,30,100%_Bubble,0,42
15,100.0000,13.3333,66.6667,8,30,100%_Bubble,0,42
16,100.0000,16.6667,70.0000,8,30,100%_Bubble,0,42
17,100.0000,10.0000,70.0000,7,30,100%_Bubble,0,42
18,100.0000,6.6667,83.3333,6,30,100%_Bubble,0,42
19,100.0000,6.6667,80.0000,3,30,100%_Bubble,0,42
20,100.0000,6.6667,76.6667,3,30,100%_Bubble,0,42
21,100.0000,10.0000,70.0000,5,30,100%_Bubble,0,42
22,100.0000,10.0000,66.6667,7,30,100%_Bubble,0,42
23,100.0000,13.3333,60.0000,6,30,100%_Bubble,0,42
24,100.0000,10.0000,73.3333,9,30,100%_Bubble,0,42
25,100.0000,6.6667,73.3333,5,30,100%_Bubble,0,42
26,100.0000,13.3333,70.0000,8,30,100%_Bubble,0,42
27,100.0000,13.3333,73.3333,7,30,100%_Bubble,0,42
28,100.0000,23.3333,76.6667,4,30,100%_Bubble,0,42
29,100.0000,23.3333,70.0000,5,30,100%_Bubble,0,42
30,100.0000,33.3333,76.6667,6,30,100%_Bubble,0,42
31,100.0000,43.3333,80.0000,4,30,100%_Bubble,0,42
32,100.0000,46.6667,80.0000,3,30,100%_Bubble,0,42
33,100.0000,53.3333,80.0000,4,30,100%_Bubble,0,42
34,100.0000,56.6667,83.3333,5,30,100%_Bubble,0,42
35,100.0000,66.6667,86.6667,3,30,100%_Bubble,0,42
36,100.0000,73.3333,86.6667,3,30,100%_Bubble,0,42
37,100.0000,100.0000,100.0000,4,30,100%_Bubble,0,42
38,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,42
39,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,42
40,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,42
0,100.0000,6.6667,53.3333,0,30,100%_Bubble,0,123
1,100.0000,6.6667,60.0000,10,30,100%_Bubble,0,123
2,100.0000,0.0000,70.0000,9,30,100%_Bubble,0,123
3,100.0000,6.6667,73.3333,7,30,100%_Bubble,0,123
4,100.0000,10.0000,73.3333,6,30,100%_Bubble,0,123
5,100.0000,10.0000,70.0000,7,30,100%_Bubble,0,123
6,100.0000,10.0000,70.0000,6,30,100%_Bubble,0,123
7,100.0000,10.0000,70.0000,7,30,100%_Bubble,0,123
8,100.0000,20.0000,73.3333,6,30,100%_Bubble,0,123
9,100.0000,16.6667,73.3333,7,30,100%_Bubble,0,123
10,100.0000,16.6667,76.6667,6,30,100%_Bubble,0,123
11,100.0000,16.6667,70.0000,3,30,100%_Bubble,0,123
12,100.0000,26.6667,63.3333,8,30,100%_Bubble,0,123
13,100.0000,30.0000,73.3333,8,30,100%_Bubble,0,123
14,100.0000,26.6667,70.0000,3,30,100%_Bubble,0,123
15,100.0000,40.0000,63.3333,9,30,100%_Bubble,0,123
16,100.0000,36.6667,83.3333,8,30,100%_Bubble,0,123
17,100.0000,33.3333,83.3333,2,30,100%_Bubble,0,123
18,100.0000,40.0000,80.0000,3,30,100%_Bubble,0,123
19,100.0000,40.0000,86.6667,6,30,100%_Bubble,0,123
20,100.0000,43.3333,83.3333,3,30,100%_Bubble,0,123
21,100.0000,46.6667,83.3333,3,30,100%_Bubble,0,123
22,100.0000,56.6667,90.0000,4,30,100%_Bubble,0,123
23,100.0000,60.0000,90.0000,2,30,100%_Bubble,0,123
24,100.0000,63.3333,86.6667,2,30,100%_Bubble,0,123
25,100.0000,66.6667,90.0000,2,30,100%_Bubble,0,123
26,100.0000,73.3333,86.6667,3,30,100%_Bubble,0,123
27,100.0000,100.0000,100.0000,4,30,100%_Bubble,0,123
28,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,123
29,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,123
30,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,123
0,100.0000,3.3333,46.6667,0,30,100%_Bubble,0,789
1,100.0000,3.3333,56.6667,8,30,100%_Bubble,0,789
2,100.0000,10.0000,56.6667,8,30,100%_Bubble,0,789
3,100.0000,6.6667,60.0000,9,30,100%_Bubble,0,789
4,100.0000,13.3333,66.6667,9,30,100%_Bubble,0,789
5,100.0000,10.0000,66.6667,6,30,100%_Bubble,0,789
6,100.0000,0.0000,63.3333,7,30,100%_Bubble,0,789
7,100.0000,0.0000,70.0000,7,30,100%_Bubble,0,789
8,100.0000,0.0000,66.6667,6,30,100%_Bubble,0,789
9,100.0000,0.0000,63.3333,7,30,100%_Bubble,0,789
10,100.0000,0.0000,66.6667,6,30,100%_Bubble,0,789
11,100.0000,0.0000,70.0000,8,30,100%_Bubble,0,789
12,100.0000,0.0000,63.3333,7,30,100%_Bubble,0,789
13,100.0000,0.0000,70.0000,10,30,100%_Bubble,0,789
14,100.0000,0.0000,70.0000,6,30,100%_Bubble,0,789
15,100.0000,0.0000,66.6667,5,30,100%_Bubble,0,789
16,100.0000,0.0000,70.0000,7,30,100%_Bubble,0,789
17,100.0000,0.0000,73.3333,5,30,100%_Bubble,0,789
18,100.0000,0.0000,66.6667,6,30,100%_Bubble,0,789
19,100.0000,0.0000,70.0000,5,30,100%_Bubble,0,789
20,100.0000,3.3333,76.6667,5,30,100%_Bubble,0,789
21,100.0000,3.3333,73.3333,4,30,100%_Bubble,0,789
22,100.0000,6.6667,70.0000,7,30,100%_Bubble,0,789
23,100.0000,6.6667,70.0000,4,30,100%_Bubble,0,789
24,100.0000,10.0000,73.3333,6,30,100%_Bubble,0,789
25,100.0000,6.6667,70.0000,6,30,100%_Bubble,0,789
26,100.0000,10.0000,73.3333,7,30,100%_Bubble,0,789
27,100.0000,10.0000,73.3333,8,30,100%_Bubble,0,789
28,100.0000,20.0000,76.6667,6,30,100%_Bubble,0,789
29,100.0000,20.0000,73.3333,7,30,100%_Bubble,0,789
30,100.0000,20.0000,70.0000,8,30,100%_Bubble,0,789
31,100.0000,20.0000,66.6667,8,30,100%_Bubble,0,789
32,100.0000,36.6667,80.0000,7,30,100%_Bubble,0,789
33,100.0000,36.6667,73.3333,4,30,100%_Bubble,0,789
34,100.0000,46.6667,80.0000,6,30,100%_Bubble,0,789
35,100.0000,50.0000,80.0000,6,30,100%_Bubble,0,789
36,100.0000,66.6667,86.6667,5,30,100%_Bubble,0,789
37,100.0000,70.0000,86.6667,2,30,100%_Bubble,0,789
38,100.0000,86.6667,93.3333,3,30,100%_Bubble,0,789
39,100.0000,93.3333,96.6667,1,30,100%_Bubble,0,789
40,100.0000,93.3333,96.6667,0,30,100%_Bubble,0,789
41,100.0000,100.0000,100.0000,1,30,100%_Bubble,0,789
42,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,789
43,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,789
44,100.0000,100.0000,100.0000,0,30,100%_Bubble,0,789
0,100.0000,6.6667,46.6667,0,30,100%_Bubble,1,42
1,100.0000,3.3333,50.0000,9,30,100%_Bubble,1,42
2,100.0000,6.6667,56.6667,9,30,100%_Bubble,1,42
3,100.0000,10.0000,53.3333,8,30,100%_Bubble,1,42
4,100.0000,10.0000,60.0000,11,30,100%_Bubble,1,42
5,100.0000,10.0000,60.0000,8,30,100%_Bubble,1,42
6,100.0000,10.0000,63.3333,9,30,100%_Bubble,1,42
7,100.0000,13.3333,60.0000,8,30,100%_Bubble,1,42
8,100.0000,13.3333,66.6667,8,30,100%_Bubble,1,42
9,100.0000,10.0000,60.0000,6,30,100%_Bubble,1,42
10,100.0000,10.0000,70.0000,8,30,100%_Bubble,1,42
11,100.0000,10.0000,63.3333,8,30,100%_Bubble,1,42
12,100.0000,13.3333,70.0000,6,30,100%_Bubble,1,42
13,100.0000,13.3333,63.3333,7,30,100%_Bubble,1,42
14,100.0000,13.3333,66.6667,8,30,100%_Bubble,1,42
15,100.0000,6.6667,70.0000,8,30,100%_Bubble,1,42
16,100.0000,10.0000,63.3333,9,30,100%_Bubble,1,42
17,100.0000,10.0000,70.0000,8,30,100%_Bubble,1,42
18,100.0000,10.0000,66.6667,6,30,100%_Bubble,1,42
19,100.0000,10.0000,73.3333,7,30,100%_Bubble,1,42
20,100.0000,13.3333,66.6667,5,30,100%_Bubble,1,42
21,100.0000,13.3333,73.3333,7,30,100%_Bubble,1,42
22,100.0000,13.3333,70.0000,4,30,100%_Bubble,1,42
23,100.0000,6.6667,73.3333,4,30,100%_Bubble,1,42
24,100.0000,10.0000,73.3333,7,30,100%_Bubble,1,42
25,100.0000,10.0000,76.6667,8,30,100%_Bubble,1,42
26,100.0000,13.3333,76.6667,5,30,100%_Bubble,1,42
27,100.0000,10.0000,76.6667,6,30,100%_Bubble,1,42
28,100.0000,10.0000,76.6667,4,30,100%_Bubble,1,42
29,100.0000,13.3333,76.6667,4,30,100%_Bubble,1,42
30,100.0000,20.0000,76.6667,4,30,100%_Bubble,1,42
31,100.0000,33.3333,76.6667,6,30,100%_Bubble,1,42
32,100.0000,46.6667,83.3333,5,30,100%_Bubble,1,42
33,100.0000,63.3333,90.0000,4,30,100%_Bubble,1,42
34,100.0000,66.6667,86.6667,3,30,100%_Bubble,1,42
35,100.0000,83.3333,93.3333,4,30,100%_Bubble,1,42
36,100.0000,86.6667,93.3333,2,30,100%_Bubble,1,42
37,100.0000,93.3333,96.6667,2,30,100%_Bubble,1,42
38,100.0000,100.0000,100.0000,1,30,100%_Bubble,1,42
39,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,42
40,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,42
41,100.0000,100.0000,100.0000,0,30,100%_Bubble,1,42
0,100.0000,6.6667,53.3333,0,30,100%_Bubble,1,123
1,100.0000,6.6667,66.6667,10,30,100%_Bubble,1,123
2,100.0000,3.3333,66.6667,7,30,100%_Bubble,1,123
3,100.0000,6.6667,63.3333,7,30,100%_Bubble,1,123
4,100.0000,10.0000,63.3333,6,30,100%_Bubble,1,123
5,100.0000,10.0000,66.6667,9,30,100%_Bubble,1,123
6,100.0000,6.6667,70.0000,7,30,100%_Bubble,1,123
7,100.0000,13.3333,76.6667,5,30,100%_Bubble,1,123
8,100.0000,16.6667,66.6667,6,30,100%_Bubble,1,123
9,100.0000,13.3333,70.0000,7,30,100%_Bubble,1,123
10,100.0000,13.3333,70.0000,5,30,100%_Bubble,1,123
11,100.0000,16.6667,70.0000,7,30,100%_Bubble,1,123
12,100.0000,13.3333,73.3333,5,30,100%_Bubble,1,123
13,100.0000,13.3333,73.3333,6,30,100%_Bubble,1,123
14,100.0000,23.3333,76.6667,6,30,100%_Bubble,1,123
15,100.0000,30.0000,80.0000,6,30,100%_Bubble,1,123
16,100.0000,36.6667,80.0000,3,30,100%_Bubble,1,123
17,100.0000,33.3333,86.6667,5,30,100%_Bubble,1,123
18,100.0000,36.6667,80.0000,3,30,100%_Bubble,1,123
19,100.0000,33.3333,83.3333,5,30,100%_Bubble,1,123
20,100.0000,33.3333,86.6667,4,30,100%_Bubble,1,123
21,100.0000,33.3333,83.3333,3,30,100%_Bubble,1,123
22,100.0000,33.3333,83.3333,2,30,100%_Bubble,1,123
23,100.0000,40.0000,86.6667,3,30,100%_Bubble,1,123
24,100.0000,43.3333,83.3333,3,30,100%_Bubble,1,123
25,100.0000,56.6667,86.6667,5,30,100%_Bubble,1,123
26,100.0000,76.6667,93.3333,4,30,100%_Bubble,1,123
